 Nascidos vivos - Brasil
Nascim p/resid.mãeNascim p/ocorrênc por Município
Período:2000-2022
"Município";"Nascim_p/resid.mãe";"Nascim_p/ocorrênc"
"412040 PRESIDENTE CASTELO BRANCO";1506;694
"412050 PRIMEIRO DE MAIO";2647;947
"412060 PRUDENTOPOLIS";16692;15844
"412065 QUARTO CENTENARIO";1403;-
"412070 QUATIGUA";2173;2969
"412080 QUATRO BARRAS";7194;262
"412085 QUATRO PONTES";964;160
"412090 QUEDAS DO IGUACU";11346;9352
"412100 QUERENCIA DO NORTE";4030;3431
"412110 QUINTA DO SOL";1575;601
"412120 QUITANDINHA";4914;1135
"412125 RAMILANDIA";1356;6
"412130 RANCHO ALEGRE";1011;5
"412135 RANCHO ALEGRE D'OESTE";802;-
"412140 REALEZA";5206;4801
"412150 REBOUCAS";4882;2777
"412160 RENASCENCA";2134;10
"412170 RESERVA";9878;8752
"412175 RESERVA DO IGUACU";2879;33
"412180 RIBEIRAO CLARO";3230;1744
"412190 RIBEIRAO DO PINHAL";4378;4815
"412200 RIO AZUL";4713;4181
"412210 RIO BOM";860;1
"412215 RIO BONITO DO IGUACU";5829;51
"412217 RIO BRANCO DO IVAI";1380;13
"412220 RIO BRANCO DO SUL";14099;4906
"412230 RIO NEGRO";9559;8826
"412240 ROLANDIA";19479;17562
"412250 RONCADOR";3918;4080
"412260 RONDON";2934;2523
"412265 ROSARIO DO IVAI";1813;2657
"412270 SABAUDIA";1904;1
"412280 SALGADO FILHO";1458;564
"412290 SALTO DO ITARARE";1397;655
"412300 SALTO DO LONTRA";4228;2991
"412310 SANTA AMELIA";1287;259
"412320 SANTA CECILIA DO PAVAO";1111;572
"412330 SANTA CRUZ DE MONTE CASTELO";2463;425
"412340 SANTA FE";2848;1626
"412350 SANTA HELENA";7701;6274
"412360 SANTA INES";504;-
"412370 SANTA ISABEL DO IVAI";2428;2754
"412380 SANTA IZABEL DO OESTE";3649;2928
"412382 SANTA LUCIA";1185;251
"412385 SANTA MARIA DO OESTE";3837;3785
"412390 SANTA MARIANA";3434;2581
"412395 SANTA MONICA";1125;1
"412400 SANTANA DO ITARARE";1438;660
"412402 SANTA TEREZA DO OESTE";3746;10
"412405 SANTA TEREZINHA DE ITAIPU";7072;2631
"412410 SANTO ANTONIO DA PLATINA";14622;31715
"412420 SANTO ANTONIO DO CAIUA";729;444
"412430 SANTO ANTONIO DO PARAISO";654;302
"412440 SANTO ANTONIO DO SUDOESTE";6605;5185
"412450 SANTO INACIO";1763;293
"412460 SAO CARLOS DO IVAI";1930;686
"412470 SAO JERONIMO DA SERRA";3837;39
"412480 SAO JOAO";3080;1337
"412490 SAO JOAO DO CAIUA";1921;752
"412500 SAO JOAO DO IVAI";3347;2469
"412510 SAO JOAO DO TRIUNFO";4376;2642
"412520 SAO JORGE D'OESTE";2665;1697
"412530 SAO JORGE DO IVAI";1310;477
"412535 SAO JORGE DO PATROCINIO";1825;2150
"412540 SAO JOSE DA BOA VISTA";1647;416
"412545 SAO JOSE DAS PALMEIRAS";1199;705
"412550 SAO JOSE DOS PINHAIS";102880;73735
"412555 SAO MANOEL DO PARANA";550;1
"412560 SAO MATEUS DO SUL";14382;13687
"412570 SAO MIGUEL DO IGUACU";9448;5492
"412575 SAO PEDRO DO IGUACU";1891;597
"412580 SAO PEDRO DO IVAI";2780;1555
"412590 SAO PEDRO DO PARANA";790;-
"412600 SAO SEBASTIAO DA AMOREIRA";2680;1682
"412610 SAO TOME";1599;171
"412620 SAPOPEMA";2148;256
"412625 SARANDI";30860;25243
"412627 SAUDADE DO IGUACU";1926;172
"412630 SENGES";6653;3309
"412635 SERRANOPOLIS DO IGUACU";1200;-
"412640 SERTANEJA";1542;7
"412650 SERTANOPOLIS";4461;1958
"412660 SIQUEIRA CAMPOS";5993;4096
"412665 SULINA";979;42
"412667 TAMARANA";4211;2162
"412670 TAMBOARA";1293;322
"412680 TAPEJARA";4743;1714
"412690 TAPIRA";1632;612
"412700 TEIXEIRA SOARES";3277;1197
"412710 TELEMACO BORBA";26604;38254
"412720 TERRA BOA";4913;4074
"412730 TERRA RICA";5023;4232
"412740 TERRA ROXA";5184;3396
"412750 TIBAGI";7273;1356
"412760 TIJUCAS DO SUL";5064;1363
"412770 TOLEDO";40958;53393
"412780 TOMAZINA";2162;1941
"412785 TRES BARRAS DO PARANA";4124;2613
"412788 TUNAS DO PARANA";2984;59
"412790 TUNEIRAS DO OESTE";2599;961
"412795 TUPASSI";2151;1048
"412796 TURVO";5553;3540
"412800 UBIRATA";6843;10428
"412810 UMUARAMA";32645;63869
"412820 UNIAO DA VITORIA";19732;31401
"412830 UNIFLOR";599;4
"412840 URAI";3053;2146
"412850 WENCESLAU BRAZ";6467;4363
"412853 VENTANIA";3462;99
"412855 VERA CRUZ DO OESTE";2484;918
"412860 VERE";2212;793
"412862 ALTO PARAISO";1086;10
"412863 DOUTOR ULYSSES";1800;83
"412865 VIRMOND";1371;7
"412870 VITORINO";2168;239
"412880 XAMBRE";1693;74
" MUNICIPIO IGNORADO - SC";24;2
"420005 ABDON BATISTA";777;12
"420010 ABELARDO LUZ";6742;6260
"420020 AGROLANDIA";2989;2007
"420030 AGRONOMICA";1355;5
"420040 AGUA DOCE";2274;1437
"420050 AGUAS DE CHAPECO";1743;6
"420055 AGUAS FRIAS";721;1
"420060 AGUAS MORNAS";1529;2
"420070 ALFREDO WAGNER";2881;2634
"420075 ALTO BELA VISTA";387;1
"420080 ANCHIETA";1952;1311
"420090 ANGELINA";1409;2333
"420100 ANITA GARIBALDI";2667;2124
"420110 ANITAPOLIS";841;509
"420120 ANTONIO CARLOS";2479;4
"420125 APIUNA";2835;9
"420127 ARABUTA";903;91
"420130 ARAQUARI";10615;148
"420140 ARARANGUA";20853;31578
"420150 ARMAZEM";2403;1982
"420160 ARROIO TRINTA";773;320
"420165 ARVOREDO";605;2
"420170 ASCURRA";2104;19
"420180 ATALANTA";925;3
"420190 AURORA";1710;262
"420195 BALNEARIO ARROIO DO SILVA";3103;7
"420200 BALNEARIO CAMBORIU";33050;82614
"420205 BALNEARIO BARRA DO SUL";2611;18
"420207 BALNEARIO GAIVOTA";2739;3
"420208 BANDEIRANTE";832;-
"420209 BARRA BONITA";521;1
"420210 BARRA VELHA";8892;164
"420213 BELA VISTA DO TOLDO";1720;13
"420215 BELMONTE";783;7
"420220 BENEDITO NOVO";2605;34
"420230 BIGUACU";19754;5911
"420240 BLUMENAU";96719;115168
"420243 BOCAINA DO SUL";1032;115
"420245 BOMBINHAS";5336;75
"420250 BOM JARDIM DA SERRA";1084;31
"420253 BOM JESUS";831;7
"420257 BOM JESUS DO OESTE";562;2
"420260 BOM RETIRO";3223;1978
"420270 BOTUVERA";1131;85
"420280 BRACO DO NORTE";10570;11241
"420285 BRACO DO TROMBUDO";1051;1
"420287 BRUNOPOLIS";863;3
"420290 BRUSQUE";35220;42637
"420300 CACADOR";28246;32239
"420310 CAIBI";1633;1158
"420315 CALMON";1477;20
"420320 CAMBORIU";26621;11732
"420325 CAPAO ALTO";700;5
"420330 CAMPO ALEGRE";3579;1723
"420340 CAMPO BELO DO SUL";2291;441
"420350 CAMPO ERE";3778;6264
"420360 CAMPOS NOVOS";12009;13927
"420370 CANELINHA";3270;1943
"420380 CANOINHAS";19741;21341
"420390 CAPINZAL";7596;8508
"420395 CAPIVARI DE BAIXO";6994;7
"420400 CATANDUVAS";3514;711
"420410 CAXAMBU DO SUL";1308;1394
"420415 CELSO RAMOS";726;7
"420417 CERRO NEGRO";1002;20
"420419 CHAPADAO DO LAGEADO";911;-
"420420 CHAPECO";70482;80180
"420425 COCAL DO SUL";4315;3
"420430 CONCORDIA";22911;32246
"420435 CORDILHEIRA ALTA";981;1
"420440 CORONEL FREITAS";2643;1125
"420445 CORONEL MARTINS";621;1
"420450 CORUPA";4146;150
"420455 CORREIA PINTO";5107;1031
"420460 CRICIUMA";62410;83535
"420470 CUNHA PORA";2850;2292
"420475 CUNHATAI";431;-
"420480 CURITIBANOS";15565;24757
"420490 DESCANSO";2186;1724
"420500 DIONISIO CERQUEIRA";5418;5563
"420510 DONA EMMA";1183;3
"420515 DOUTOR PEDRINHO";845;3
"420517 ENTRE RIOS";1288;4
"420519 ERMO";779;1
"420520 ERVAL VELHO";1183;252
"420530 FAXINAL DOS GUEDES";3743;3722
"420535 FLOR DO SERTAO";434;2
"420540 FLORIANOPOLIS";128324;210017
"420543 FORMOSA DO SUL";742;-
"420545 FORQUILHINHA";8093;18
"420550 FRAIBURGO";13790;12480
"420555 FREI ROGERIO";789;10
"420560 GALVAO";1100;349
"420570 GAROPABA";5791;103
"420580 GARUVA";6091;71
"420590 GASPAR";18254;11446
"420600 GOVERNADOR CELSO RAMOS";3752;5
"420610 GRAO PARA";1802;19
"420620 GRAVATAL";2950;7
"420630 GUABIRUBA";5417;21
"420640 GUARACIABA";2609;2091
"420650 GUARAMIRIM";12479;5930
"420660 GUARUJA DO SUL";1294;987
"420665 GUATAMBU";1857;11
"420670 HERVAL D'OESTE";6879;430
"420675 IBIAM";488;-
"420680 IBICARE";815;5
"420690 IBIRAMA";5837;14704
"420700 ICARA";18401;22697
"420710 ILHOTA";3659;18
"420720 IMARUI";2584;358
"420730 IMBITUBA";12529;11924
"420740 IMBUIA";1919;676
"420750 INDAIAL";18461;18695
"420757 IOMERE";621;1
"420760 IPIRA";1154;629
"420765 IPORA DO OESTE";2410;2032
"420768 IPUACU";3429;47
"420770 IPUMIRIM";2103;428
"420775 IRACEMINHA";1107;-
"420780 IRANI";2919;1423
"420785 IRATI";595;5
"420790 IRINEOPOLIS";3036;1266
"420800 ITA";1731;888
"420810 ITAIOPOLIS";7208;2265
"420820 ITAJAI";69665;74187
"420830 ITAPEMA";16019;2322
"420840 ITAPIRANGA";4969;5446
"420845 ITAPOA";4942;172
"420850 ITUPORANGA";8488;13992
"420860 JABORA";1132;81
"420870 JACINTO MACHADO";3098;1870
"420880 JAGUARUNA";5042;478
"420890 JARAGUA DO SUL";49140;68759
"420895 JARDINOPOLIS";500;1
"420900 JOACABA";8320;25805
"420910 JOINVILLE";175004;210458
"420915 JOSE BOITEUX";2219;213
"420917 JUPIA";649;1
"420920 LACERDOPOLIS";536;2
"420930 LAGES";55776;77452
"420940 LAGUNA";12436;8295
"420945 LAJEADO GRANDE";397;-
"420950 LAURENTINO";1899;4
"420960 LAURO MULLER";4358;3367
"420970 LEBON REGIS";4341;2120
"420980 LEOBERTO LEAL";1059;1
"420985 LINDOIA DO SUL";1184;471
"420990 LONTRAS";3390;10
"421000 LUIZ ALVES";3554;786
"421003 LUZERNA";1310;1161
"421005 MACIEIRA";472;2
"421010 MAFRA";18621;30617
"421020 MAJOR GERCINO";767;8
"421030 MAJOR VIEIRA";2313;1621
"421040 MARACAJA";2209;2
"421050 MARAVILHA";7402;11167
"421055 MAREMA";490;3
"421060 MASSARANDUBA";4193;278
"421070 MATOS COSTA";921;240
"421080 MELEIRO";1956;4268
"421085 MIRIM DOCE";733;1
"421090 MODELO";1107;971
"421100 MONDAI";2614;1812
"421105 MONTE CARLO";3863;1252
"421110 MONTE CASTELO";2904;50
"421120 MORRO DA FUMACA";5467;436
"421125 MORRO GRANDE";856;-
"421130 NAVEGANTES";25872;17618
"421140 NOVA ERECHIM";1259;944
"421145 NOVA ITABERABA";1123;1
"421150 NOVA TRENTO";3154;2399
"421160 NOVA VENEZA";3862;4196
"421165 NOVO HORIZONTE";737;4
"421170 ORLEANS";6753;7340
"421175 OTACILIO COSTA";5379;1957
"421180 OURO";1898;1
"421185 OURO VERDE";614;-
"421187 PAIAL";507;3
"421189 PAINEL";662;5
"421190 PALHOCA";51782;1729
"421200 PALMA SOLA";2775;4653
"421205 PALMEIRA";546;2
"421210 PALMITOS";4244;5531
"421220 PAPANDUVA";6360;5909
"421223 PARAISO";1212;9
"421225 PASSO DE TORRES";1955;5
"421227 PASSOS MAIA";1563;15
"421230 PAULO LOPES";2109;6
"421240 PEDRAS GRANDES";931;1
"421250 PENHA";8070;2015
"421260 PERITIBA";677;1215
"421265 PESCARIA BRAVA";902;2
"421270 PETROLANDIA";1688;514
"421280 BALNEARIO PICARRAS";6331;82
"421290 PINHALZINHO";5787;8926
"421300 PINHEIRO PRETO";897;1
"421310 PIRATUBA";1352;-
"421315 PLANALTO ALEGRE";730;2
"421320 POMERODE";7983;8664
"421330 PONTE ALTA";1772;2098
"421335 PONTE ALTA DO NORTE";1312;15
"421340 PONTE SERRADA";4107;1154
"421350 PORTO BELO";5250;33
"421360 PORTO UNIAO";11578;10957
"421370 POUSO REDONDO";5129;1440
"421380 PRAIA GRANDE";2154;1355
"421390 PRESIDENTE CASTELLO BRANCO";370;20
"421400 PRESIDENTE GETULIO";4889;1717
"421410 PRESIDENTE NEREU";593;1
"421415 PRINCESA";797;1
"421420 QUILOMBO";3267;6401
"421430 RANCHO QUEIMADO";746;1
"421440 RIO DAS ANTAS";1605;350
"421450 RIO DO CAMPO";2087;2017
"421460 RIO DO OESTE";1899;51
"421470 RIO DOS CEDROS";2476;1467
"421480 RIO DO SUL";19970;41622
"421490 RIO FORTUNA";1366;2877
"421500 RIO NEGRINHO";15315;15076
"421505 RIO RUFINO";739;4
"421507 RIQUEZA";1324;2
"421510 RODEIO";2644;11
"421520 ROMELANDIA";1339;347
"421530 SALETE";2243;2035
"421535 SALTINHO";1302;16
"421540 SALTO VELOSO";1178;282
"421545 SANGAO";3926;9
"421550 SANTA CECILIA";7326;9466
"421555 SANTA HELENA";615;1
"421560 SANTA ROSA DE LIMA";504;-
"421565 SANTA ROSA DO SUL";2382;1
"421567 SANTA TEREZINHA";2396;3
"421568 SANTA TEREZINHA DO PROGRESSO";867;13
"421569 SANTIAGO DO SUL";427;-
"421570 SANTO AMARO DA IMPERATRIZ";6047;1616
"421575 SAO BERNARDINO";950;3
"421580 SAO BENTO DO SUL";26983;28596
"421590 SAO BONIFACIO";629;444
"421600 SAO CARLOS";2693;3887
"421605 SAO CRISTOVAO DO SUL";1811;12
"421610 SAO DOMINGOS";2774;1061
"421620 SAO FRANCISCO DO SUL";14575;12358
"421625 SAO JOAO DO OESTE";1337;604
"421630 SAO JOAO BATISTA";8573;6348
"421635 SAO JOAO DO ITAPERIU";1123;3
"421640 SAO JOAO DO SUL";2029;5
"421650 SAO JOAQUIM";8561;7579
"421660 SAO JOSE";68808;82187
"421670 SAO JOSE DO CEDRO";3997;3069
"421680 SAO JOSE DO CERRITO";2242;264
"421690 SAO LOURENCO DO OESTE";7778;8707
"421700 SAO LUDGERO";3718;2
"421710 SAO MARTINHO";855;127
"421715 SAO MIGUEL DA BOA VISTA";485;2
"421720 SAO MIGUEL DO OESTE";11246;21933
"421725 SAO PEDRO DE ALCANTARA";786;2
"421730 SAUDADES";2521;2008
"421740 SCHROEDER";5171;8
"421750 SEARA";5252;5880
"421755 SERRA ALTA";836;-
"421760 SIDEROPOLIS";3323;11
"421770 SOMBRIO";9361;5302
"421775 SUL BRASIL";810;-
"421780 TAIO";5661;5938
"421790 TANGARA";2210;2197
"421795 TIGRINHOS";579;2
"421800 TIJUCAS";12511;13291
"421810 TIMBE DO SUL";1505;1400
"421820 TIMBO";10286;13148
"421825 TIMBO GRANDE";2841;864
"421830 TRES BARRAS";7216;6379
"421835 TREVISO";853;1
"421840 TREZE DE MAIO";1841;279
"421850 TREZE TILIAS";2189;557
"421860 TROMBUDO CENTRAL";2096;787
"421870 TUBARAO";29134;67120
"421875 TUNAPOLIS";1271;945
"421880 TURVO";3678;5705
"421885 UNIAO DO OESTE";764;1
"421890 URUBICI";3317;2220
"421895 URUPEMA";784;17
"421900 URUSSANGA";4885;6097
"421910 VARGEAO";1198;1953
"421915 VARGEM";827;-
"421917 VARGEM BONITA";1729;7
"421920 VIDAL RAMOS";1929;331
"421930 VIDEIRA";17427;21204
"421935 VITOR MEIRELES";1922;1042
"421940 WITMARSUM";1149;388
"421950 XANXERE";15187;28882
"421960 XAVANTINA";817;394
"421970 XAXIM";9168;7655
"421985 ZORTEA";1029;1
"422000 BALNEARIO RINCAO";1914;4
" MUNICIPIO IGNORADO - RS";1;-
"430003 ACEGUA";1419;2335
"430005 AGUA SANTA";957;3
"430010 AGUDO";4171;1594
"430020 AJURICABA";1689;1085
"430030 ALECRIM";1408;731
"430040 ALEGRETE";22608;25268
"430045 ALEGRIA";928;319
"430047 ALMIRANTE TAMANDARE DO SUL";412;-
"430050 ALPESTRE";1934;1507
"430055 ALTO ALEGRE";374;1
"430057 ALTO FELIZ";526;-
"430060 ALVORADA";75207;48967
"430063 AMARAL FERRADOR";1531;30
"430064 AMETISTA DO SUL";2397;1198
"430066 ANDRE DA ROCHA";255;-
"430070 ANTA GORDA";1239;583
"430080 ANTONIO PRADO";3133;2690
"430085 ARAMBARE";940;10
"430087 ARARICA";1999;3
"430090 ARATIBA";1300;1194
"430100 ARROIO DO MEIO";5093;5985
"430105 ARROIO DO SAL";2234;12
"430107 ARROIO DO PADRE";562;1
"430110 ARROIO DOS RATOS";3922;794
"430120 ARROIO DO TIGRE";3691;4832
"430130 ARROIO GRANDE";5225;2807
"430140 ARVOREZINHA";2791;2048
"430150 AUGUSTO PESTANA";1586;390
"430155 AUREA";775;8
"430160 BAGE";38201;44139
"430163 BALNEARIO PINHAL";2949;40
"430165 BARAO";1120;132
"430170 BARAO DE COTEGIPE";1576;550
"430175 BARAO DO TRIUNFO";1615;52
"430180 BARRACAO";1287;525
"430185 BARRA DO GUARITA";974;4
"430187 BARRA DO QUARAI";1011;67
"430190 BARRA DO RIBEIRO";3456;115
"430192 BARRA DO RIO AZUL";315;2
"430195 BARRA FUNDA";671;1
"430200 BARROS CASSAL";3342;1260
"430205 BENJAMIN CONSTANT DO SUL";903;47
"430210 BENTO GONCALVES";31380;34513
"430215 BOA VISTA DAS MISSOES";596;1
"430220 BOA VISTA DO BURICA";1651;984
"430222 BOA VISTA DO CADEADO";459;1
"430223 BOA VISTA DO INCRA";711;1
"430225 BOA VISTA DO SUL";454;1
"430230 BOM JESUS";4115;2888
"430235 BOM PRINCIPIO";3303;2615
"430237 BOM PROGRESSO";694;2
"430240 BOM RETIRO DO SUL";3364;2603
"430245 BOQUEIRAO DO LEAO";2413;2503
"430250 BOSSOROCA";1643;243
"430258 BOZANO";445;1
"430260 BRAGA";1134;271
"430265 BROCHIER";936;183
"430270 BUTIA";6058;472
"430280 CACAPAVA DO SUL";9477;9188
"430290 CACEQUI";3289;1237
"430300 CACHOEIRA DO SUL";24597;27464
"430310 CACHOEIRINHA";41684;35815
"430320 CACIQUE DOBLE";1391;571
"430330 CAIBATE";1271;1344
"430340 CAICARA";1175;788
"430350 CAMAQUA";19955;29087
"430355 CAMARGO";667;1
"430360 CAMBARA DO SUL";2101;1428
"430367 CAMPESTRE DA SERRA";611;4
"430370 CAMPINA DAS MISSOES";1272;1445
"430380 CAMPINAS DO SUL";1324;887
"430390 CAMPO BOM";19740;18080
"430400 CAMPO NOVO";1767;836
"430410 CAMPOS BORGES";919;68
"430420 CANDELARIA";8510;8125
"430430 CANDIDO GODOI";1455;1178
"430435 CANDIOTA";3134;69
"430440 CANELA";14890;11855
"430450 CANGUCU";14376;14168
"430460 CANOAS";115368;78786
"430461 CANUDOS DO VALE";332;-
"430462 CAPAO BONITO DO SUL";373;1
"430463 CAPAO DA CANOA";18161;23557
"430465 CAPAO DO CIPO";756;3
"430466 CAPAO DO LEAO";7770;19
"430467 CAPIVARI DO SUL";1072;8
"430468 CAPELA DE SANTANA";3028;4
"430469 CAPITAO";776;3
"430470 CARAZINHO";19219;19992
"430471 CARAA";1274;24
"430480 CARLOS BARBOSA";6515;4246
"430485 CARLOS GOMES";324;5
"430490 CASCA";1878;1683
"430495 CASEIROS";695;-
"430500 CATUIPE";2165;174
"430510 CAXIAS DO SUL";135246;154378
"430511 CENTENARIO";597;1
"430512 CERRITO";1282;12
"430513 CERRO BRANCO";835;43
"430515 CERRO GRANDE";774;3
"430517 CERRO GRANDE DO SUL";3090;49
"430520 CERRO LARGO";3198;2669
"430530 CHAPADA";1955;799
"430535 CHARQUEADAS";8909;524
"430537 CHARRUA";1147;22
"430540 CHIAPETTA";1173;1319
"430543 CHUI";1229;49
"430544 CHUVISCA";1482;15
"430545 CIDREIRA";3801;44
"430550 CIRIACO";1084;461
"430558 COLINAS";449;-
"430560 COLORADO";579;1
"430570 CONDOR";1615;782
"430580 CONSTANTINA";2900;2177
"430583 COQUEIRO BAIXO";206;-
"430585 COQUEIROS DO SUL";523;-
"430587 CORONEL BARROS";612;1
"430590 CORONEL BICACO";2451;835
"430593 CORONEL PILAR";223;-
"430595 COTIPORA";621;12
"430597 COXILHA";902;4
"430600 CRISSIUMAL";3458;3660
"430605 CRISTAL";2253;23
"430607 CRISTAL DO SUL";836;-
"430610 CRUZ ALTA";21153;24616
"430613 CRUZALTENSE";412;1
"430620 CRUZEIRO DO SUL";2563;1216
"430630 DAVID CANABARRO";1040;1402
"430632 DERRUBADAS";897;10
"430635 DEZESSEIS DE NOVEMBRO";641;12
"430637 DILERMANDO DE AGUIAR";708;6
"430640 DOIS IRMAOS";8331;7460
"430642 DOIS IRMAOS DAS MISSOES";713;8
"430645 DOIS LAJEADOS";598;561
"430650 DOM FELICIANO";4257;2347
"430655 DOM PEDRO DE ALCANTARA";506;3
"430660 DOM PEDRITO";11335;10451
"430670 DONA FRANCISCA";779;96
"430673 DOUTOR MAURICIO CARDOSO";1014;244
"430675 DOUTOR RICARDO";363;1
"430676 ELDORADO DO SUL";11945;63
"430680 ENCANTADO";5570;9035
"430690 ENCRUZILHADA DO SUL";7464;7573
"430692 ENGENHO VELHO";601;183
"430693 ENTRE-IJUIS";2435;14
"430695 ENTRE RIOS DO SUL";829;5
"430697 EREBANGO";928;1
"430700 ERECHIM";29826;41445
"430705 ERNESTINA";803;4
"430710 HERVAL";1973;693
"430720 ERVAL GRANDE";1333;936
"430730 ERVAL SECO";2260;1250
"430740 ESMERALDA";868;98
"430745 ESPERANCA DO SUL";935;20
"430750 ESPUMOSO";4591;6649
"430755 ESTACAO";1546;1859
"430760 ESTANCIA VELHA";13906;10338
"430770 ESTEIO";28874;27158
"430780 ESTRELA";9044;15700
"430781 ESTRELA VELHA";943;5
"430783 EUGENIO DE CASTRO";700;3
"430786 FAGUNDES VARELA";470;-
"430790 FARROUPILHA";18808;15553
"430800 FAXINAL DO SOTURNO";1539;992
"430805 FAXINALZINHO";714;4
"430807 FAZENDA VILANOVA";1135;2
"430810 FELIZ";3111;2298
"430820 FLORES DA CUNHA";7796;6368
"430825 FLORIANO PEIXOTO";351;1
"430830 FONTOURA XAVIER";3029;859
"430840 FORMIGUEIRO";1597;141
"430843 FORQUETINHA";380;1
"430845 FORTALEZA DOS VALOS";1232;505
"430850 FREDERICO WESTPHALEN";8850;9893
"430860 GARIBALDI";7821;7840
"430865 GARRUCHOS";733;8
"430870 GAURAMA";1216;397
"430880 GENERAL CAMARA";1963;60
"430885 GENTIL";439;-
"430890 GETULIO VARGAS";4239;4379
"430900 GIRUA";4738;3587
"430905 GLORINHA";1721;6
"430910 GRAMADO";11617;13945
"430912 GRAMADO DOS LOUREIROS";696;2
"430915 GRAMADO XAVIER";1215;12
"430920 GRAVATAI";82094;48488
"430925 GUABIJU";256;78
"430930 GUAIBA";30800;14639
"430940 GUAPORE";6368;6250
"430950 GUARANI DAS MISSOES";1969;1903
"430955 HARMONIA";1031;1
"430957 HERVEIRAS";889;18
"430960 HORIZONTINA";5230;4588
"430965 HULHA NEGRA";2041;28
"430970 HUMAITA";1101;562
"430975 IBARAMA";1247;9
"430980 IBIACA";952;359
"430990 IBIRAIARAS";1647;585
"430995 IBIRAPUITA";1103;3
"431000 IBIRUBA";5625;5588
"431010 IGREJINHA";11349;16379
"431020 IJUI";24649;34485
"431030 ILOPOLIS";1047;1445
"431033 IMBE";5875;21
"431036 IMIGRANTE";577;-
"431040 INDEPENDENCIA";1700;237
"431041 INHACORA";706;2
"431043 IPE";1223;2
"431046 IPIRANGA DO SUL";364;-
"431050 IRAI";2524;1967
"431053 ITAARA";1398;12
"431055 ITACURUBI";785;7
"431057 ITAPUCA";557;3
"431060 ITAQUI";13415;12685
"431065 ITATI";603;10
"431070 ITATIBA DO SUL";939;243
"431075 IVORA";404;82
"431080 IVOTI";5809;6289
"431085 JABOTICABA";1025;360
"431087 JACUIZINHO";525;2
"431090 JACUTINGA";752;282
"431100 JAGUARAO";8456;8399
"431110 JAGUARI";2418;1955
"431112 JAQUIRANA";1358;461
"431113 JARI";836;17
"431115 JOIA";2280;327
"431120 JULIO DE CASTILHOS";6165;4265
"431123 LAGOA BONITA DO SUL";635;-
"431125 LAGOAO";1851;248
"431127 LAGOA DOS TRES CANTOS";334;-
"431130 LAGOA VERMELHA";8975;10111
"431140 LAJEADO";23803;27439
"431142 LAJEADO DO BUGRE";837;1
"431150 LAVRAS DO SUL";1969;875
"431160 LIBERATO SALZANO";1522;22
"431162 LINDOLFO COLLOR";1804;3
"431164 LINHA NOVA";222;-
"431170 MACHADINHO";1645;419
"431171 MACAMBARA";1181;5
"431173 MAMPITUBA";873;5
"431175 MANOEL VIANA";1794;16
"431177 MAQUINE";1748;33
"431179 MARATA";484;-
"431180 MARAU";11123;13391
"431190 MARCELINO RAMOS";1118;531
"431198 MARIANA PIMENTEL";892;22
"431200 MARIANO MORO";429;139
"431205 MARQUES DE SOUZA";836;860
"431210 MATA";1169;729
"431213 MATO CASTELHANO";740;3
"431215 MATO LEITAO";923;-
"431217 MATO QUEIMADO";422;1
"431220 MAXIMILIANO DE ALMEIDA";1217;934
"431225 MINAS DO LEAO";2410;25
"431230 MIRAGUAI";1423;25
"431235 MONTAURI";288;1
"431237 MONTE ALEGRE DOS CAMPOS";817;8
"431238 MONTE BELO DO SUL";452;1
"431240 MONTENEGRO";20001;30594
"431242 MORMACO";675;-
"431244 MORRINHOS DO SUL";661;3
"431245 MORRO REDONDO";1245;468
"431247 MORRO REUTER";1369;1
"431250 MOSTARDAS";3197;850
"431260 MUCUM";1062;917
"431261 MUITOS CAPOES";720;5
"431262 MULITERNO";526;2
"431265 NAO-ME-TOQUE";4784;5534
"431267 NICOLAU VERGUEIRO";457;-
"431270 NONOAI";4342;7430
"431275 NOVA ALVORADA";902;-
"431280 NOVA ARACA";1153;2
"431290 NOVA BASSANO";1870;705
"431295 NOVA BOA VISTA";398;-
"431300 NOVA BRESCIA";626;754
"431301 NOVA CANDELARIA";633;-
"431303 NOVA ESPERANCA DO SUL";1171;1
"431306 NOVA HARTZ";5902;11
"431308 NOVA PADUA";396;1
"431310 NOVA PALMA";1580;2927
"431320 NOVA PETROPOLIS";5101;4321
"431330 NOVA PRATA";6770;8861
"431333 NOVA RAMADA";562;-
"431335 NOVA ROMA DO SUL";602;1
"431337 NOVA SANTA RITA";7441;18
"431339 NOVO CABRAIS";838;2
"431340 NOVO HAMBURGO";73677;99813
"431342 NOVO MACHADO";718;12
"431344 NOVO TIRADENTES";556;1
"431346 NOVO XINGU";377;-
"431349 NOVO BARREIRO";1002;2
"431350 OSORIO";13523;20315
"431360 PAIM FILHO";897;1105
"431365 PALMARES DO SUL";3111;819
"431370 PALMEIRA DAS MISSOES";11920;16677
"431380 PALMITINHO";2042;3497
"431390 PANAMBI";12725;12175
"431395 PANTANO GRANDE";2792;25
"431400 PARAI";1666;2143
"431402 PARAISO DO SUL";1594;157
"431403 PARECI NOVO";877;1
"431405 PAROBE";17735;18037
"431406 PASSA SETE";1220;18
"431407 PASSO DO SOBRADO";1244;9
"431410 PASSO FUNDO";63560;85740
"431413 PAULO BENTO";398;-
"431415 PAVERAMA";1728;44
"431417 PEDRAS ALTAS";561;262
"431420 PEDRO OSORIO";2175;380
