 Nascidos vivos - Brasil;;;;;;;;;
Nascim p/resid.mãe por Município e Peso ao nascer;;;;;;;;;
Período:2000-2022;;;;;;;;;
Município;Menos de 500g;500 a 999g;1000 a 1499 g;1500 a 2499 g;2500 a 2999 g;3000 a 3999 g;4000g e mais;Ignorado;Total
411170 JABOTI;1;4;7;103;336;1079;107;3;1640
411180 JACAREZINHO;20;47;89;940;3443;8712;474;-;13725
411190 JAGUAPITA;2;19;30;268;919;2539;129;-;3906
411200 JAGUARIAIVA;8;60;90;957;3281;8148;505;7;13056
411210 JANDAIA DO SUL;2;21;60;480;1646;3714;139;1;6063
411220 JANIOPOLIS;-;3;12;115;394;1242;101;3;1870
411230 JAPIRA;2;8;13;100;340;942;65;-;1470
411240 JAPURA;-;6;11;93;340;1539;174;-;2163
411250 JARDIM ALEGRE;6;9;15;251;678;2434;206;2;3601
411260 JARDIM OLINDA;2;-;2;37;98;307;30;1;477
411270 JATAIZINHO;9;20;29;336;987;2525;142;-;4048
411275 JESUITAS;-;7;10;126;603;1544;74;-;2364
411280 JOAQUIM TAVORA;5;20;13;227;677;2252;229;4;3427
411290 JUNDIAI DO SUL;2;2;4;72;222;591;53;1;947
411295 JURANDA;1;13;18;167;584;1526;105;1;2415
411300 JUSSARA;1;10;14;114;395;1349;122;-;2005
411310 KALORE;-;8;3;75;292;775;36;-;1189
411320 LAPA;5;57;109;1103;3537;9508;646;7;14972
411325 LARANJAL;-;8;14;143;538;1565;138;3;2409
411330 LARANJEIRAS DO SUL;5;41;66;859;2974;7628;442;3;12018
411340 LEOPOLIS;5;5;4;76;279;669;47;-;1085
411342 LIDIANOPOLIS;1;6;9;85;187;735;50;-;1073
411345 LINDOESTE;2;8;11;87;359;1180;103;-;1750
411350 LOANDA;1;37;56;454;1653;4510;343;4;7058
411360 LOBATO;-;5;8;72;255;786;62;-;1188
411370 LONDRINA;226;851;1194;11835;37387;101383;7125;13;160014
411373 LUIZIANA;3;4;13;171;662;1509;93;-;2455
411375 LUNARDELLI;-;4;5;87;293;1070;82;-;1541
411380 LUPIONOPOLIS;1;7;7;86;286;804;54;1;1246
411390 MALLET;1;17;24;238;789;2655;226;2;3952
411400 MAMBORE;4;13;30;317;1009;2790;195;2;4360
411410 MANDAGUACU;11;29;57;460;1562;4567;360;4;7050
411420 MANDAGUARI;9;55;89;801;2586;6319;350;2;10211
411430 MANDIRITUBA;5;40;59;603;2127;5313;282;1;8430
411435 MANFRINOPOLIS;-;3;4;40;219;555;43;1;865
411440 MANGUEIRINHA;7;28;43;580;1818;4197;234;6;6913
411450 MANOEL RIBAS;4;12;23;299;1069;3327;185;2;4921
411460 MARECHAL CANDIDO RONDON;13;72;83;889;2836;10049;1024;5;14971
411470 MARIA HELENA;-;5;8;75;386;1039;73;-;1586
411480 MARIALVA;17;35;86;728;2419;6673;411;1;10370
411490 MARILANDIA DO SUL;1;10;26;247;916;1659;46;-;2905
411500 MARILENA;-;7;17;127;453;1495;130;-;2229
411510 MARILUZ;1;8;27;236;861;2303;166;-;3602
411520 MARINGA;91;495;839;7722;24925;67302;4285;9;105668
411530 MARIOPOLIS;-;10;11;137;467;1263;72;1;1961
411535 MARIPA;2;4;5;84;290;1054;132;-;1571
411540 MARMELEIRO;3;21;40;327;1052;2712;161;8;4324
411545 MARQUINHO;1;3;5;153;532;1159;59;4;1916
411550 MARUMBI;3;4;7;92;333;798;58;-;1295
411560 MATELANDIA;6;24;36;343;1197;3862;296;-;5764
411570 MATINHOS;8;55;81;703;2331;7068;619;18;10883
411573 MATO RICO;1;5;3;60;285;761;54;11;1180
411575 MAUA DA SERRA;6;10;21;281;827;2187;154;1;3487
411580 MEDIANEIRA;14;62;109;886;3219;9951;781;1;15023
411585 MERCEDES;1;5;5;57;222;1013;136;-;1439
411590 MIRADOR;-;4;5;45;128;407;44;-;633
411600 MIRASELVA;-;1;2;27;101;339;29;-;499
411605 MISSAL;2;8;22;171;539;2172;186;1;3101
411610 MOREIRA SALES;3;11;14;307;853;2353;182;1;3724
411620 MORRETES;2;19;39;392;1404;3552;314;3;5725
411630 MUNHOZ DE MELO;2;6;7;86;207;677;49;-;1034
411640 NOSSA SENHORA DAS GRACAS;-;3;5;72;252;756;48;1;1137
411650 NOVA ALIANCA DO IVAI;-;-;4;22;107;287;20;-;440
411660 NOVA AMERICA DA COLINA;-;5;9;70;301;644;31;1;1061
411670 NOVA AURORA;2;11;16;205;870;2278;158;2;3542
411680 NOVA CANTU;4;9;15;175;595;1494;106;-;2398
411690 NOVA ESPERANCA;4;27;53;551;1748;5315;339;1;8038
411695 NOVA ESPERANCA DO SUDOESTE;1;7;8;111;327;1148;116;-;1718
411700 NOVA FATIMA;2;8;17;143;531;1465;115;-;2281
411705 NOVA LARANJEIRAS;-;16;34;314;1157;2979;166;5;4671
411710 NOVA LONDRINA;1;23;29;258;811;2589;205;-;3916
411720 NOVA OLIMPIA;1;12;13;119;316;1093;55;1;1610
411721 NOVA SANTA BARBARA;2;8;11;126;343;758;45;1;1294
411722 NOVA SANTA ROSA;4;5;9;141;422;1562;194;2;2339
411725 NOVA PRATA DO IGUACU;2;7;25;128;467;2074;335;-;3038
411727 NOVA TEBAS;3;7;19;181;576;1521;102;1;2410
411729 NOVO ITACOLOMI;-;3;6;51;183;483;31;-;757
411730 ORTIGUEIRA;8;40;37;566;1916;5120;331;63;8081
411740 OURIZONA;-;1;6;51;211;589;37;-;895
411745 OURO VERDE DO OESTE;5;6;11;114;431;1152;84;1;1804
411750 PAICANDU;13;56;94;918;3129;7634;451;-;12295
411760 PALMAS;4;80;165;2187;6174;11590;577;53;20830
411770 PALMEIRA;4;41;72;728;2525;7279;598;4;11251
411780 PALMITAL;-;12;36;405;1232;3868;441;52;6046
411790 PALOTINA;1;43;75;570;1985;6801;714;3;10192
411800 PARAISO DO NORTE;1;18;18;228;851;2574;195;-;3885
411810 PARANACITY;3;12;30;222;678;2183;180;1;3309
411820 PARANAGUA;39;255;440;3833;12837;35907;3019;2;56332
411830 PARANAPOEMA;1;5;3;65;189;605;38;-;906
411840 PARANAVAI;26;111;194;1888;6157;17727;1252;6;27361
411845 PATO BRAGADO;1;8;13;68;230;1033;139;1;1493
411850 PATO BRANCO;16;111;216;1931;6778;16960;1051;2;27065
411860 PAULA FREITAS;1;9;11;123;407;1017;74;-;1642
411870 PAULO FRONTIN;-;6;10;119;369;1302;122;2;1930
411880 PEABIRU;6;14;25;276;916;2573;193;-;4003
411885 PEROBAL;-;6;2;114;430;1202;81;-;1835
411890 PEROLA;-;9;20;187;675;1991;158;-;3040
411900 PEROLA D'OESTE;-;9;14;102;331;1218;128;-;1802
411910 PIEN;3;10;22;278;873;2387;157;2;3732
411915 PINHAIS;35;211;376;3391;11073;27620;1613;44;44363
411920 PINHALAO;2;4;12;124;411;1457;157;1;2168
411925 PINHAL DE SAO BENTO;-;2;1;54;207;552;36;1;853
411930 PINHAO;2;54;86;841;2878;8613;731;83;13288
411940 PIRAI DO SUL;10;33;63;639;2112;5657;373;7;8894
411950 PIRAQUARA;26;165;278;2757;9106;21102;1266;12;34712
411960 PITANGA;11;27;67;936;3206;7493;419;3;12162
411965 PITANGUEIRAS;-;5;8;55;224;452;30;1;775
411970 PLANALTINA DO PARANA;-;8;7;117;316;971;65;2;1486
411980 PLANALTO;4;9;27;198;559;2295;320;-;3412
411990 PONTA GROSSA;128;604;894;9336;28954;74831;5170;64;119981
411995 PONTAL DO PARANA;4;40;39;478;1579;4261;407;8;6816
412000 PORECATU;6;21;24;269;846;2472;146;3;3787
412010 PORTO AMAZONAS;-;6;9;86;319;891;80;2;1393
412015 PORTO BARREIRO;1;2;7;82;299;731;40;-;1162
412020 PORTO RICO;1;1;6;45;139;545;36;2;775
412030 PORTO VITORIA;2;4;11;80;263;840;94;-;1294
412033 PRADO FERREIRA;-;7;10;71;258;709;70;-;1125
412035 PRANCHITA;4;6;11;158;438;1136;82;-;1835
412040 PRESIDENTE CASTELO BRANCO;-;10;12;88;308;1021;66;1;1506
412050 PRIMEIRO DE MAIO;5;10;21;183;599;1708;119;2;2647
412060 PRUDENTOPOLIS;8;50;85;1044;3363;11040;1048;54;16692
412065 QUARTO CENTENARIO;-;3;11;83;340;904;62;-;1403
412070 QUATIGUA;1;7;14;128;503;1422;98;-;2173
412080 QUATRO BARRAS;9;31;59;579;1767;4482;266;1;7194
412085 QUATRO PONTES;1;7;12;58;169;652;65;-;964
412090 QUEDAS DO IGUACU;4;51;63;715;2283;7506;722;2;11346
412100 QUERENCIA DO NORTE;4;12;22;296;954;2584;157;1;4030
412110 QUINTA DO SOL;-;4;14;106;337;1026;88;-;1575
412120 QUITANDINHA;5;18;42;324;1148;3151;222;4;4914
412125 RAMILANDIA;1;7;14;73;265;915;80;1;1356
412130 RANCHO ALEGRE;-;8;3;65;260;630;45;-;1011
412135 RANCHO ALEGRE D'OESTE;-;7;3;57;191;509;35;-;802
412140 REALEZA;2;17;25;325;1002;3560;273;2;5206
412150 REBOUCAS;7;12;35;341;1151;3088;248;-;4882
412160 RENASCENCA;3;11;17;169;561;1290;82;1;2134
412170 RESERVA;4;49;71;731;2217;6210;497;99;9878
412175 RESERVA DO IGUACU;3;5;21;202;670;1833;137;8;2879
412180 RIBEIRAO CLARO;3;12;15;235;748;2044;171;2;3230
412190 RIBEIRAO DO PINHAL;2;15;37;281;927;2820;296;-;4378
412200 RIO AZUL;4;18;31;294;994;3110;262;-;4713
412210 RIO BOM;1;5;10;72;214;526;32;-;860
412215 RIO BONITO DO IGUACU;1;23;29;394;1444;3677;261;-;5829
412217 RIO BRANCO DO IVAI;2;5;8;85;288;913;77;2;1380
412220 RIO BRANCO DO SUL;11;55;88;1052;3418;8808;595;72;14099
412230 RIO NEGRO;10;44;67;654;2125;6190;464;5;9559
412240 ROLANDIA;27;120;161;1487;4910;12050;721;3;19479
412250 RONCADOR;6;16;28;230;922;2556;160;-;3918
412260 RONDON;1;7;24;162;620;1944;176;-;2934
412265 ROSARIO DO IVAI;-;6;11;86;373;1220;112;5;1813
412270 SABAUDIA;2;7;9;137;483;1191;75;-;1904
412280 SALGADO FILHO;-;1;14;78;318;933;112;2;1458
412290 SALTO DO ITARARE;-;4;6;67;274;924;122;-;1397
412300 SALTO DO LONTRA;3;7;31;246;721;2946;273;1;4228
412310 SANTA AMELIA;3;5;12;84;264;841;78;-;1287
412320 SANTA CECILIA DO PAVAO;-;4;16;95;250;697;49;-;1111
412330 SANTA CRUZ DE MONTE CASTELO;2;10;12;169;571;1603;96;-;2463
412340 SANTA FE;2;11;25;196;584;1882;148;-;2848
412350 SANTA HELENA;13;18;41;430;1354;5401;444;-;7701
412360 SANTA INES;-;3;3;32;110;335;21;-;504
412370 SANTA ISABEL DO IVAI;4;16;12;132;448;1643;171;2;2428
412380 SANTA IZABEL DO OESTE;2;17;21;237;842;2344;185;1;3649
412382 SANTA LUCIA;-;-;8;82;206;805;77;7;1185
412385 SANTA MARIA DO OESTE;-;9;28;250;856;2489;197;8;3837
412390 SANTA MARIANA;5;14;24;274;841;2123;153;-;3434
412395 SANTA MONICA;-;4;7;46;191;778;99;-;1125
412400 SANTANA DO ITARARE;-;3;9;63;274;962;127;-;1438
412402 SANTA TEREZA DO OESTE;4;18;32;236;890;2400;166;-;3746
412405 SANTA TEREZINHA DE ITAIPU;6;30;41;433;1596;4568;392;6;7072
412410 SANTO ANTONIO DA PLATINA;13;57;96;1037;3369;9279;770;1;14622
412420 SANTO ANTONIO DO CAIUA;-;3;5;43;135;495;48;-;729
412430 SANTO ANTONIO DO PARAISO;-;3;3;54;149;425;18;2;654
412440 SANTO ANTONIO DO SUDOESTE;4;15;34;419;1440;4341;338;14;6605
412450 SANTO INACIO;2;7;15;111;367;1180;80;1;1763
412460 SAO CARLOS DO IVAI;1;4;15;131;407;1279;93;-;1930
412470 SAO JERONIMO DA SERRA;2;13;15;245;933;2448;181;-;3837
412480 SAO JOAO;2;11;16;203;698;1999;149;2;3080
412490 SAO JOAO DO CAIUA;2;6;12;134;430;1269;68;-;1921
412500 SAO JOAO DO IVAI;4;16;14;220;776;2153;162;2;3347
412510 SAO JOAO DO TRIUNFO;-;14;31;303;900;2889;236;3;4376
412520 SAO JORGE D'OESTE;-;12;16;116;483;1798;239;1;2665
412530 SAO JORGE DO IVAI;1;3;16;92;291;854;53;-;1310
412535 SAO JORGE DO PATROCINIO;-;3;7;112;432;1191;80;-;1825
412540 SAO JOSE DA BOA VISTA;1;2;3;111;421;1037;72;-;1647
412545 SAO JOSE DAS PALMEIRAS;1;3;6;101;295;736;54;3;1199
412550 SAO JOSE DOS PINHAIS;99;509;831;7975;25147;64402;3913;4;102880
412555 SAO MANOEL DO PARANA;-;3;5;28;94;382;38;-;550
412560 SAO MATEUS DO SUL;11;56;70;947;3294;9283;700;21;14382
412570 SAO MIGUEL DO IGUACU;7;40;45;585;2185;6124;456;6;9448
412575 SAO PEDRO DO IGUACU;7;16;13;132;425;1205;91;2;1891
412580 SAO PEDRO DO IVAI;2;7;28;184;588;1805;166;-;2780
412590 SAO PEDRO DO PARANA;-;4;3;48;164;528;43;-;790
412600 SAO SEBASTIAO DA AMOREIRA;-;10;21;213;661;1682;93;-;2680
412610 SAO TOME;-;10;8;82;317;1102;80;-;1599
412620 SAPOPEMA;1;6;16;155;516;1358;96;-;2148
412625 SARANDI;26;141;229;2281;7570;19459;1148;6;30860
412627 SAUDADE DO IGUACU;2;2;11;128;420;1269;93;1;1926
412630 SENGES;5;19;29;491;1592;4190;320;7;6653
412635 SERRANOPOLIS DO IGUACU;-;4;6;66;272;796;56;-;1200
412640 SERTANEJA;-;6;5;99;379;972;81;-;1542
412650 SERTANOPOLIS;7;22;24;303;1059;2887;158;1;4461
412660 SIQUEIRA CAMPOS;4;17;41;401;1266;3947;316;1;5993
412665 SULINA;-;-;3;65;205;656;46;4;979
412667 TAMARANA;6;25;29;300;1035;2651;163;2;4211
412670 TAMBOARA;2;9;9;64;295;848;66;-;1293
412680 TAPEJARA;3;17;33;282;1068;3095;245;-;4743
412690 TAPIRA;-;11;13;94;336;1073;104;1;1632
412700 TEIXEIRA SOARES;2;11;21;189;707;2182;164;1;3277
412710 TELEMACO BORBA;17;93;210;1952;6521;16773;1034;4;26604
412720 TERRA BOA;4;27;35;320;1198;3125;199;5;4913
412730 TERRA RICA;1;23;31;293;1133;3278;264;-;5023
412740 TERRA ROXA;8;22;20;263;965;3556;348;2;5184
412750 TIBAGI;5;20;45;553;1688;4573;373;16;7273
412760 TIJUCAS DO SUL;4;23;42;355;1077;3255;305;3;5064
412770 TOLEDO;76;213;311;2870;9167;26418;1899;4;40958
412780 TOMAZINA;-;4;12;122;456;1456;112;-;2162
412785 TRES BARRAS DO PARANA;2;20;23;212;785;2786;293;3;4124
412788 TUNAS DO PARANA;2;11;33;265;775;1796;102;-;2984
412790 TUNEIRAS DO OESTE;1;7;9;151;544;1721;163;3;2599
412795 TUPASSI;1;4;13;126;461;1440;106;-;2151
412796 TURVO;1;16;50;386;1232;3598;267;3;5553
412800 UBIRATA;9;33;44;477;1741;4299;238;2;6843
412810 UMUARAMA;7;123;204;2246;7588;21218;1256;3;32645
412820 UNIAO DA VITORIA;9;89;134;1431;4343;12716;1009;1;19732
412830 UNIFLOR;-;3;2;42;113;398;41;-;599
412840 URAI;5;12;24;190;704;1970;148;-;3053
412850 WENCESLAU BRAZ;5;20;42;491;1569;4063;277;-;6467
412853 VENTANIA;2;8;17;245;922;2136;115;17;3462
412855 VERA CRUZ DO OESTE;3;6;17;168;588;1579;122;1;2484
412860 VERE;2;7;21;128;456;1465;132;1;2212
412862 ALTO PARAISO;-;4;6;67;264;705;40;-;1086
412863 DOUTOR ULYSSES;3;5;14;131;338;1198;94;17;1800
412865 VIRMOND;2;3;9;87;326;876;68;-;1371
412870 VITORINO;-;2;20;180;570;1311;85;-;2168
412880 XAMBRE;2;5;11;88;373;1122;91;1;1693
 MUNICIPIO IGNORADO - SC;-;-;1;2;7;13;1;-;24
420005 ABDON BATISTA;-;2;3;53;176;493;46;4;777
420010 ABELARDO LUZ;4;28;36;515;1640;4199;318;2;6742
420020 AGROLANDIA;-;9;14;162;590;2030;183;1;2989
420030 AGRONOMICA;-;1;4;80;271;908;91;-;1355
420040 AGUA DOCE;-;8;12;135;571;1419;127;2;2274
420050 AGUAS DE CHAPECO;2;2;6;112;412;1135;73;1;1743
420055 AGUAS FRIAS;-;-;5;38;177;462;37;2;721
420060 AGUAS MORNAS;1;4;6;75;255;1047;141;-;1529
420070 ALFREDO WAGNER;1;12;20;169;549;1926;203;1;2881
420075 ALTO BELA VISTA;-;2;3;24;80;255;23;-;387
420080 ANCHIETA;1;7;6;111;393;1319;115;-;1952
420090 ANGELINA;3;6;12;67;235;979;104;3;1409
420100 ANITA GARIBALDI;4;4;9;207;619;1642;162;20;2667
420110 ANITAPOLIS;-;-;2;30;119;593;97;-;841
420120 ANTONIO CARLOS;1;9;12;117;360;1751;228;1;2479
420125 APIUNA;4;12;15;182;562;1866;194;-;2835
420127 ARABUTA;-;6;5;57;205;588;42;-;903
420130 ARAQUARI;12;34;75;668;2082;7038;703;3;10615
420140 ARARANGUA;24;80;134;1271;4193;13905;1241;5;20853
420150 ARMAZEM;2;7;9;167;441;1623;154;-;2403
420160 ARROIO TRINTA;-;3;4;54;181;500;31;-;773
420165 ARVOREDO;2;4;5;42;134;392;24;2;605
420170 ASCURRA;1;10;15;133;431;1359;155;-;2104
420180 ATALANTA;-;3;1;53;198;628;42;-;925
420190 AURORA;1;2;9;64;318;1198;118;-;1710
420195 BALNEARIO ARROIO DO SILVA;4;11;9;184;634;2071;190;-;3103
420200 BALNEARIO CAMBORIU;16;130;214;2146;6819;21820;1903;2;33050
420205 BALNEARIO BARRA DO SUL;3;15;27;165;500;1701;200;-;2611
420207 BALNEARIO GAIVOTA;1;7;13;180;525;1800;213;-;2739
420208 BANDEIRANTE;-;3;4;47;171;546;61;-;832
420209 BARRA BONITA;-;-;3;37;126;325;30;-;521
420210 BARRA VELHA;13;32;61;538;1737;5898;610;3;8892
420213 BELA VISTA DO TOLDO;1;13;15;109;364;1110;103;5;1720
420215 BELMONTE;1;2;5;48;159;515;49;4;783
420220 BENEDITO NOVO;4;10;14;138;516;1762;160;1;2605
420230 BIGUACU;11;86;117;1270;3799;13161;1300;10;19754
420240 BLUMENAU;39;425;714;6679;20015;62784;6061;2;96719
420243 BOCAINA DO SUL;-;9;9;70;233;665;46;-;1032
420245 BOMBINHAS;3;18;26;315;974;3600;398;2;5336
420250 BOM JARDIM DA SERRA;1;3;11;94;278;651;46;-;1084
420253 BOM JESUS;1;2;14;87;241;457;29;-;831
420257 BOM JESUS DO OESTE;-;-;4;31;119;374;33;1;562
420260 BOM RETIRO;-;14;31;243;696;2042;193;4;3223
420270 BOTUVERA;1;3;2;77;252;745;51;-;1131
420280 BRACO DO NORTE;6;29;67;590;1891;7133;853;1;10570
420285 BRACO DO TROMBUDO;-;5;5;54;219;708;60;-;1051
420287 BRUNOPOLIS;-;10;3;63;203;548;34;2;863
420290 BRUSQUE;25;144;227;2112;6798;23593;2320;1;35220
420300 CACADOR;28;123;175;2132;7016;17652;1107;13;28246
420310 CAIBI;-;2;12;93;330;1100;96;-;1633
420315 CALMON;-;5;11;123;378;898;62;-;1477
420320 CAMBORIU;17;108;169;1565;5468;17548;1740;6;26621
420325 CAPAO ALTO;3;4;6;64;163;429;29;2;700
420330 CAMPO ALEGRE;2;9;15;189;657;2414;293;-;3579
420340 CAMPO BELO DO SUL;3;11;20;187;528;1417;99;26;2291
420350 CAMPO ERE;1;14;21;314;965;2327;134;2;3778
420360 CAMPOS NOVOS;10;49;83;897;3063;7447;450;10;12009
420370 CANELINHA;10;9;16;177;647;2192;219;-;3270
420380 CANOINHAS;9;79;128;1384;4487;12660;982;12;19741
420390 CAPINZAL;6;27;57;560;2142;4595;204;5;7596
420395 CAPIVARI DE BAIXO;4;35;51;545;1601;4414;344;-;6994
420400 CATANDUVAS;1;6;29;283;941;2141;112;1;3514
420410 CAXAMBU DO SUL;1;4;11;65;256;870;99;2;1308
420415 CELSO RAMOS;-;2;-;59;212;431;22;-;726
420417 CERRO NEGRO;2;3;9;79;253;608;45;3;1002
420419 CHAPADAO DO LAGEADO;-;-;3;56;138;643;71;-;911
420420 CHAPECO;47;325;595;5588;17850;43546;2521;10;70482
420425 COCAL DO SUL;5;15;16;249;910;2851;266;3;4315
420430 CONCORDIA;17;98;202;1961;5952;13790;891;-;22911
420435 CORDILHEIRA ALTA;2;4;7;72;287;585;24;-;981
420440 CORONEL FREITAS;3;10;13;196;659;1651;110;1;2643
420445 CORONEL MARTINS;1;2;1;39;141;402;34;1;621
420450 CORUPA;-;8;46;264;780;2737;311;-;4146
420455 CORREIA PINTO;6;38;36;420;1293;3111;193;10;5107
420460 CRICIUMA;45;257;421;4216;13013;40873;3558;27;62410
420470 CUNHA PORA;4;9;18;178;626;1875;139;1;2850
420475 CUNHATAI;-;1;1;24;97;287;21;-;431
420480 CURITIBANOS;17;74;135;1331;3934;9444;629;1;15565
420490 DESCANSO;1;10;10;137;479;1422;126;1;2186
420500 DIONISIO CERQUEIRA;5;17;31;394;1460;3294;201;16;5418
420510 DONA EMMA;1;5;11;74;208;779;105;-;1183
420515 DOUTOR PEDRINHO;2;3;5;54;181;559;40;1;845
420517 ENTRE RIOS;-;7;5;105;338;777;56;-;1288
420519 ERMO;-;2;1;19;133;564;59;1;779
420520 ERVAL VELHO;-;7;9;87;289;732;59;-;1183
420530 FAXINAL DOS GUEDES;1;10;27;324;1043;2239;99;-;3743
420535 FLOR DO SERTAO;-;-;3;23;100;280;28;-;434
420540 FLORIANOPOLIS;75;550;952;8437;26291;84192;7786;41;128324
420543 FORMOSA DO SUL;-;8;4;31;155;504;40;-;742
420545 FORQUILHINHA;7;23;48;469;1566;5412;568;-;8093
420550 FRAIBURGO;10;50;117;1222;4008;7949;424;10;13790
420555 FREI ROGERIO;-;1;2;64;192;492;37;1;789
420560 GALVAO;-;3;6;86;276;670;58;1;1100
420570 GAROPABA;6;20;34;338;1163;3898;332;-;5791
420580 GARUVA;5;33;40;407;1205;3975;425;1;6091
420590 GASPAR;19;84;119;1191;3677;12023;1138;3;18254
420600 GOVERNADOR CELSO RAMOS;3;17;23;206;676;2528;299;-;3752
420610 GRAO PARA;-;3;13;107;278;1263;138;-;1802
420620 GRAVATAL;4;14;17;183;592;1960;180;-;2950
420630 GUABIRUBA;4;28;38;326;1141;3527;352;1;5417
420640 GUARACIABA;2;7;14;165;504;1781;135;1;2609
420650 GUARAMIRIM;17;50;105;803;2736;8043;725;-;12479
420660 GUARUJA DO SUL;-;5;8;64;286;859;70;2;1294
420665 GUATAMBU;-;4;17;133;451;1152;100;-;1857
420670 HERVAL D'OESTE;4;32;67;529;1724;4252;264;7;6879
420675 IBIAM;-;1;1;22;120;316;28;-;488
420680 IBICARE;1;4;2;52;164;541;50;1;815
420690 IBIRAMA;-;16;44;340;1065;3921;450;1;5837
420700 ICARA;17;71;93;1091;3676;12211;1234;8;18401
420710 ILHOTA;3;15;16;239;713;2430;243;-;3659
420720 IMARUI;2;8;12;174;584;1664;140;-;2584
420730 IMBITUBA;5;50;64;715;2643;8419;630;3;12529
420740 IMBUIA;1;4;5;105;391;1293;120;-;1919
420750 INDAIAL;8;65;121;1193;3755;12223;1095;1;18461
420757 IOMERE;-;1;2;34;152;405;27;-;621
420760 IPIRA;3;2;7;78;283;739;42;-;1154
420765 IPORA DO OESTE;1;2;12;138;477;1616;164;-;2410
420768 IPUACU;6;12;31;322;909;2024;120;5;3429
420770 IPUMIRIM;3;9;12;161;539;1282;95;2;2103
420775 IRACEMINHA;-;1;9;68;236;725;68;-;1107
420780 IRANI;1;14;18;234;739;1782;131;-;2919
420785 IRATI;2;-;2;32;151;371;34;3;595
420790 IRINEOPOLIS;1;9;18;200;619;1968;221;-;3036
420800 ITA;1;2;10;130;336;1143;109;-;1731
420810 ITAIOPOLIS;4;15;45;525;1582;4618;409;10;7208
420820 ITAJAI;76;343;453;4574;14373;45588;4246;12;69665
420830 ITAPEMA;14;68;94;1019;3210;10520;1092;2;16019
420840 ITAPIRANGA;5;20;35;295;837;3377;398;2;4969
420845 ITAPOA;6;17;31;324;980;3240;335;9;4942
420850 ITUPORANGA;2;23;44;506;1725;5671;516;1;8488
420860 JABORA;-;7;5;83;291;701;45;-;1132
420870 JACINTO MACHADO;2;6;17;157;457;2092;362;5;3098
420880 JAGUARUNA;5;17;34;312;1087;3276;311;-;5042
420890 JARAGUA DO SUL;60;257;337;3250;10012;32024;3198;2;49140
420895 JARDINOPOLIS;1;1;1;26;116;336;19;-;500
420900 JOACABA;5;32;57;622;2194;5082;321;7;8320
420910 JOINVILLE;124;859;1334;11559;34990;115674;10462;2;175004
420915 JOSE BOITEUX;-;2;17;127;391;1507;154;21;2219
420917 JUPIA;1;4;4;44;148;422;26;-;649
420920 LACERDOPOLIS;-;3;1;41;121;352;18;-;536
420930 LAGES;37;269;454;4589;13425;34634;2355;13;55776
420940 LAGUNA;11;57;84;792;2674;8071;743;4;12436
420945 LAJEADO GRANDE;-;1;6;38;125;223;4;-;397
420950 LAURENTINO;-;8;8;133;450;1196;104;-;1899
420960 LAURO MULLER;4;7;17;240;864;2952;274;-;4358
420970 LEBON REGIS;4;12;44;314;1100;2668;197;2;4341
420980 LEOBERTO LEAL;-;2;7;66;199;719;66;-;1059
420985 LINDOIA DO SUL;-;9;6;101;336;690;42;-;1184
420990 LONTRAS;1;16;28;215;662;2209;259;-;3390
421000 LUIZ ALVES;5;13;26;190;651;2385;284;-;3554
421003 LUZERNA;-;4;7;83;328;817;70;1;1310
421005 MACIEIRA;-;1;6;39;130;277;19;-;472
421010 MAFRA;23;77;148;1328;4121;12008;905;11;18621
421020 MAJOR GERCINO;1;2;6;49;161;499;49;-;767
421030 MAJOR VIEIRA;2;9;23;160;512;1493;114;-;2313
421040 MARACAJA;2;13;14;126;450;1475;128;1;2209
421050 MARAVILHA;1;26;49;449;1693;4870;307;7;7402
421055 MAREMA;-;2;2;30;127;322;7;-;490
421060 MASSARANDUBA;2;21;26;270;789;2775;310;-;4193
421070 MATOS COSTA;-;4;4;78;238;572;25;-;921
421080 MELEIRO;2;6;13;77;350;1383;125;-;1956
421085 MIRIM DOCE;-;1;5;41;150;476;60;-;733
421090 MODELO;-;4;8;71;240;720;63;1;1107
421100 MONDAI;1;14;13;162;467;1744;211;2;2614
421105 MONTE CARLO;10;28;25;333;961;2308;189;9;3863
421110 MONTE CASTELO;3;13;20;193;624;1900;145;6;2904
421120 MORRO DA FUMACA;-;29;31;355;1091;3631;329;1;5467
421125 MORRO GRANDE;1;3;3;47;176;573;53;-;856
421130 NAVEGANTES;32;108;183;1622;5185;16959;1781;2;25872
421140 NOVA ERECHIM;-;3;8;68;273;852;54;1;1259
421145 NOVA ITABERABA;-;4;10;82;228;760;38;1;1123
421150 NOVA TRENTO;5;7;20;174;558;2141;249;-;3154
421160 NOVA VENEZA;3;13;18;162;643;2674;348;1;3862
421165 NOVO HORIZONTE;-;5;3;50;182;470;26;1;737
421170 ORLEANS;2;31;37;400;1460;4491;332;-;6753
421175 OTACILIO COSTA;4;22;40;379;1303;3404;223;4;5379
421180 OURO;1;7;20;139;418;1238;74;1;1898
421185 OURO VERDE;-;3;5;65;162;368;11;-;614
421187 PAIAL;-;2;4;19;107;337;38;-;507
421189 PAINEL;1;3;5;61;163;410;19;-;662
421190 PALHOCA;49;189;363;3179;9967;34444;3563;28;51782
421200 PALMA SOLA;1;9;17;201;669;1758;114;6;2775
421205 PALMEIRA;1;1;4;54;142;316;28;-;546
421210 PALMITOS;1;14;28;278;981;2749;193;-;4244
