 Nascidos vivos - Brasil;;;;
Nascim p/resid.mãe por Município e Sexo;;;;
Período:2000-2022;;;;
Município;Masc;Fem;Ign;Total
411770 PALMEIRA;5782;5469;-;11251
411780 PALMITAL;3099;2947;-;6046
411790 PALOTINA;5170;5021;1;10192
411800 PARAISO DO NORTE;1973;1912;-;3885
411810 PARANACITY;1735;1574;-;3309
411820 PARANAGUA;28762;27567;3;56332
411830 PARANAPOEMA;466;440;-;906
411840 PARANAVAI;13945;13412;4;27361
411845 PATO BRAGADO;741;752;-;1493
411850 PATO BRANCO;13898;13166;1;27065
411860 PAULA FREITAS;824;818;-;1642
411870 PAULO FRONTIN;1000;929;1;1930
411880 PEABIRU;2116;1887;-;4003
411885 PEROBAL;927;908;-;1835
411890 PEROLA;1556;1484;-;3040
411900 PEROLA D'OESTE;904;898;-;1802
411910 PIEN;1899;1832;1;3732
411915 PINHAIS;22687;21668;8;44363
411920 PINHALAO;1081;1087;-;2168
411925 PINHAL DE SAO BENTO;452;401;-;853
411930 PINHAO;6752;6535;1;13288
411940 PIRAI DO SUL;4599;4294;1;8894
411950 PIRAQUARA;17908;16803;1;34712
411960 PITANGA;6162;6000;-;12162
411965 PITANGUEIRAS;395;380;-;775
411970 PLANALTINA DO PARANA;744;742;-;1486
411980 PLANALTO;1732;1680;-;3412
411990 PONTA GROSSA;61211;58768;2;119981
411995 PONTAL DO PARANA;3448;3366;2;6816
412000 PORECATU;1944;1843;-;3787
412010 PORTO AMAZONAS;724;669;-;1393
412015 PORTO BARREIRO;583;579;-;1162
412020 PORTO RICO;409;366;-;775
412030 PORTO VITORIA;672;622;-;1294
412033 PRADO FERREIRA;595;530;-;1125
412035 PRANCHITA;932;903;-;1835
412040 PRESIDENTE CASTELO BRANCO;756;749;1;1506
412050 PRIMEIRO DE MAIO;1323;1324;-;2647
412060 PRUDENTOPOLIS;8529;8162;1;16692
412065 QUARTO CENTENARIO;677;726;-;1403
412070 QUATIGUA;1097;1076;-;2173
412080 QUATRO BARRAS;3668;3525;1;7194
412085 QUATRO PONTES;489;475;-;964
412090 QUEDAS DO IGUACU;5804;5541;1;11346
412100 QUERENCIA DO NORTE;2077;1953;-;4030
412110 QUINTA DO SOL;832;743;-;1575
412120 QUITANDINHA;2552;2362;-;4914
412125 RAMILANDIA;713;643;-;1356
412130 RANCHO ALEGRE;499;512;-;1011
412135 RANCHO ALEGRE D'OESTE;413;389;-;802
412140 REALEZA;2659;2547;-;5206
412150 REBOUCAS;2528;2353;1;4882
412160 RENASCENCA;1089;1044;1;2134
412170 RESERVA;5094;4784;-;9878
412175 RESERVA DO IGUACU;1457;1422;-;2879
412180 RIBEIRAO CLARO;1641;1588;1;3230
412190 RIBEIRAO DO PINHAL;2222;2155;1;4378
412200 RIO AZUL;2330;2382;1;4713
412210 RIO BOM;442;418;-;860
412215 RIO BONITO DO IGUACU;2972;2857;-;5829
412217 RIO BRANCO DO IVAI;685;695;-;1380
412220 RIO BRANCO DO SUL;7278;6821;-;14099
412230 RIO NEGRO;4915;4643;1;9559
412240 ROLANDIA;9893;9584;2;19479
412250 RONCADOR;1998;1920;-;3918
412260 RONDON;1494;1440;-;2934
412265 ROSARIO DO IVAI;937;876;-;1813
412270 SABAUDIA;932;972;-;1904
412280 SALGADO FILHO;720;738;-;1458
412290 SALTO DO ITARARE;729;668;-;1397
412300 SALTO DO LONTRA;2173;2055;-;4228
412310 SANTA AMELIA;656;631;-;1287
412320 SANTA CECILIA DO PAVAO;546;564;1;1111
412330 SANTA CRUZ DE MONTE CASTELO;1270;1193;-;2463
412340 SANTA FE;1414;1434;-;2848
412350 SANTA HELENA;3965;3734;2;7701
412360 SANTA INES;263;241;-;504
412370 SANTA ISABEL DO IVAI;1263;1165;-;2428
412380 SANTA IZABEL DO OESTE;1912;1736;1;3649
412382 SANTA LUCIA;617;568;-;1185
412385 SANTA MARIA DO OESTE;1974;1863;-;3837
412390 SANTA MARIANA;1745;1687;2;3434
412395 SANTA MONICA;597;528;-;1125
412400 SANTANA DO ITARARE;719;719;-;1438
412402 SANTA TEREZA DO OESTE;1965;1781;-;3746
412405 SANTA TEREZINHA DE ITAIPU;3592;3480;-;7072
412410 SANTO ANTONIO DA PLATINA;7409;7209;4;14622
412420 SANTO ANTONIO DO CAIUA;362;367;-;729
412430 SANTO ANTONIO DO PARAISO;342;312;-;654
412440 SANTO ANTONIO DO SUDOESTE;3429;3176;-;6605
412450 SANTO INACIO;919;844;-;1763
412460 SAO CARLOS DO IVAI;1018;912;-;1930
412470 SAO JERONIMO DA SERRA;1977;1860;-;3837
412480 SAO JOAO;1591;1489;-;3080
412490 SAO JOAO DO CAIUA;972;949;-;1921
412500 SAO JOAO DO IVAI;1678;1669;-;3347
412510 SAO JOAO DO TRIUNFO;2222;2153;1;4376
412520 SAO JORGE D'OESTE;1365;1299;1;2665
412530 SAO JORGE DO IVAI;678;632;-;1310
412535 SAO JORGE DO PATROCINIO;892;933;-;1825
412540 SAO JOSE DA BOA VISTA;849;798;-;1647
412545 SAO JOSE DAS PALMEIRAS;648;551;-;1199
412550 SAO JOSE DOS PINHAIS;52538;50332;10;102880
412555 SAO MANOEL DO PARANA;273;276;1;550
412560 SAO MATEUS DO SUL;7392;6987;3;14382
412570 SAO MIGUEL DO IGUACU;4852;4594;2;9448
412575 SAO PEDRO DO IGUACU;967;923;1;1891
412580 SAO PEDRO DO IVAI;1437;1342;1;2780
412590 SAO PEDRO DO PARANA;407;383;-;790
412600 SAO SEBASTIAO DA AMOREIRA;1393;1287;-;2680
412610 SAO TOME;829;770;-;1599
412620 SAPOPEMA;1115;1033;-;2148
412625 SARANDI;15881;14978;1;30860
412627 SAUDADE DO IGUACU;988;938;-;1926
412630 SENGES;3382;3271;-;6653
412635 SERRANOPOLIS DO IGUACU;604;596;-;1200
412640 SERTANEJA;819;723;-;1542
412650 SERTANOPOLIS;2314;2147;-;4461
412660 SIQUEIRA CAMPOS;3112;2881;-;5993
412665 SULINA;511;468;-;979
412667 TAMARANA;2144;2067;-;4211
412670 TAMBOARA;640;653;-;1293
412680 TAPEJARA;2412;2331;-;4743
412690 TAPIRA;840;792;-;1632
412700 TEIXEIRA SOARES;1673;1603;1;3277
412710 TELEMACO BORBA;13713;12883;8;26604
412720 TERRA BOA;2497;2415;1;4913
412730 TERRA RICA;2590;2432;1;5023
412740 TERRA ROXA;2633;2551;-;5184
412750 TIBAGI;3720;3552;1;7273
412760 TIJUCAS DO SUL;2603;2459;2;5064
412770 TOLEDO;20830;20124;4;40958
412780 TOMAZINA;1131;1031;-;2162
412785 TRES BARRAS DO PARANA;2078;2046;-;4124
412788 TUNAS DO PARANA;1602;1382;-;2984
412790 TUNEIRAS DO OESTE;1328;1271;-;2599
412795 TUPASSI;1131;1020;-;2151
412796 TURVO;2854;2699;-;5553
412800 UBIRATA;3529;3314;-;6843
412810 UMUARAMA;16603;16041;1;32645
412820 UNIAO DA VITORIA;10206;9525;1;19732
412830 UNIFLOR;304;295;-;599
412840 URAI;1580;1473;-;3053
412850 WENCESLAU BRAZ;3306;3161;-;6467
412853 VENTANIA;1789;1673;-;3462
412855 VERA CRUZ DO OESTE;1214;1270;-;2484
412860 VERE;1141;1071;-;2212
412862 ALTO PARAISO;603;483;-;1086
412863 DOUTOR ULYSSES;950;850;-;1800
412865 VIRMOND;691;680;-;1371
412870 VITORINO;1139;1029;-;2168
412880 XAMBRE;851;842;-;1693
 MUNICIPIO IGNORADO - SC;9;15;-;24
420005 ABDON BATISTA;382;395;-;777
420010 ABELARDO LUZ;3447;3295;-;6742
420020 AGROLANDIA;1542;1446;1;2989
420030 AGRONOMICA;694;661;-;1355
420040 AGUA DOCE;1165;1108;1;2274
420050 AGUAS DE CHAPECO;891;851;1;1743
420055 AGUAS FRIAS;379;342;-;721
420060 AGUAS MORNAS;752;777;-;1529
420070 ALFREDO WAGNER;1466;1415;-;2881
420075 ALTO BELA VISTA;192;195;-;387
420080 ANCHIETA;1008;943;1;1952
420090 ANGELINA;740;669;-;1409
420100 ANITA GARIBALDI;1327;1339;1;2667
420110 ANITAPOLIS;459;382;-;841
420120 ANTONIO CARLOS;1302;1177;-;2479
420125 APIUNA;1474;1361;-;2835
420127 ARABUTA;471;432;-;903
420130 ARAQUARI;5449;5165;1;10615
420140 ARARANGUA;10718;10131;4;20853
420150 ARMAZEM;1231;1171;1;2403
420160 ARROIO TRINTA;380;392;1;773
420165 ARVOREDO;332;273;-;605
420170 ASCURRA;1064;1040;-;2104
420180 ATALANTA;499;426;-;925
420190 AURORA;904;806;-;1710
420195 BALNEARIO ARROIO DO SILVA;1541;1562;-;3103
420200 BALNEARIO CAMBORIU;17031;16019;-;33050
420205 BALNEARIO BARRA DO SUL;1362;1249;-;2611
420207 BALNEARIO GAIVOTA;1399;1340;-;2739
420208 BANDEIRANTE;444;388;-;832
420209 BARRA BONITA;250;270;1;521
420210 BARRA VELHA;4521;4369;2;8892
420213 BELA VISTA DO TOLDO;837;883;-;1720
420215 BELMONTE;395;388;-;783
420220 BENEDITO NOVO;1363;1242;-;2605
420230 BIGUACU;10080;9668;6;19754
420240 BLUMENAU;49514;47198;7;96719
420243 BOCAINA DO SUL;544;487;1;1032
420245 BOMBINHAS;2754;2581;1;5336
420250 BOM JARDIM DA SERRA;549;535;-;1084
420253 BOM JESUS;430;401;-;831
420257 BOM JESUS DO OESTE;279;283;-;562
420260 BOM RETIRO;1658;1565;-;3223
420270 BOTUVERA;586;545;-;1131
420280 BRACO DO NORTE;5493;5074;3;10570
420285 BRACO DO TROMBUDO;542;509;-;1051
420287 BRUNOPOLIS;423;440;-;863
420290 BRUSQUE;18142;17074;4;35220
420300 CACADOR;14440;13805;1;28246
420310 CAIBI;852;781;-;1633
420315 CALMON;763;714;-;1477
420320 CAMBORIU;13591;13027;3;26621
420325 CAPAO ALTO;366;334;-;700
420330 CAMPO ALEGRE;1795;1784;-;3579
420340 CAMPO BELO DO SUL;1173;1118;-;2291
420350 CAMPO ERE;1924;1854;-;3778
420360 CAMPOS NOVOS;6157;5851;1;12009
420370 CANELINHA;1653;1617;-;3270
420380 CANOINHAS;10026;9714;1;19741
420390 CAPINZAL;3903;3692;1;7596
420395 CAPIVARI DE BAIXO;3612;3382;-;6994
420400 CATANDUVAS;1807;1707;-;3514
420410 CAXAMBU DO SUL;675;633;-;1308
420415 CELSO RAMOS;372;354;-;726
420417 CERRO NEGRO;508;494;-;1002
420419 CHAPADAO DO LAGEADO;448;463;-;911
420420 CHAPECO;36201;34266;15;70482
420425 COCAL DO SUL;2219;2096;-;4315
420430 CONCORDIA;11750;11157;4;22911
420435 CORDILHEIRA ALTA;521;459;1;981
420440 CORONEL FREITAS;1329;1314;-;2643
420445 CORONEL MARTINS;308;313;-;621
420450 CORUPA;2091;2054;1;4146
420455 CORREIA PINTO;2624;2482;1;5107
420460 CRICIUMA;32060;30335;15;62410
420470 CUNHA PORA;1464;1386;-;2850
420475 CUNHATAI;214;217;-;431
420480 CURITIBANOS;8007;7558;-;15565
420490 DESCANSO;1112;1073;1;2186
420500 DIONISIO CERQUEIRA;2760;2658;-;5418
420510 DONA EMMA;608;575;-;1183
420515 DOUTOR PEDRINHO;437;408;-;845
420517 ENTRE RIOS;676;612;-;1288
420519 ERMO;413;366;-;779
420520 ERVAL VELHO;599;584;-;1183
420530 FAXINAL DOS GUEDES;1887;1855;1;3743
420535 FLOR DO SERTAO;234;200;-;434
420540 FLORIANOPOLIS;65958;62343;23;128324
420543 FORMOSA DO SUL;392;350;-;742
420545 FORQUILHINHA;4095;3998;-;8093
420550 FRAIBURGO;7091;6696;3;13790
420555 FREI ROGERIO;434;355;-;789
420560 GALVAO;547;553;-;1100
420570 GAROPABA;2962;2829;-;5791
420580 GARUVA;3167;2923;1;6091
420590 GASPAR;9330;8922;2;18254
420600 GOVERNADOR CELSO RAMOS;1930;1822;-;3752
420610 GRAO PARA;931;871;-;1802
420620 GRAVATAL;1507;1442;1;2950
420630 GUABIRUBA;2748;2669;-;5417
420640 GUARACIABA;1363;1246;-;2609
420650 GUARAMIRIM;6352;6125;2;12479
420660 GUARUJA DO SUL;653;641;-;1294
420665 GUATAMBU;960;897;-;1857
420670 HERVAL D'OESTE;3543;3336;-;6879
420675 IBIAM;258;230;-;488
420680 IBICARE;437;378;-;815
420690 IBIRAMA;2992;2845;-;5837
420700 ICARA;9386;9007;8;18401
420710 ILHOTA;1908;1748;3;3659
420720 IMARUI;1351;1233;-;2584
420730 IMBITUBA;6405;6117;7;12529
420740 IMBUIA;968;951;-;1919
420750 INDAIAL;9481;8979;1;18461
420757 IOMERE;309;312;-;621
420760 IPIRA;579;575;-;1154
420765 IPORA DO OESTE;1275;1135;-;2410
420768 IPUACU;1784;1644;1;3429
420770 IPUMIRIM;1138;965;-;2103
420775 IRACEMINHA;546;561;-;1107
420780 IRANI;1507;1412;-;2919
420785 IRATI;305;290;-;595
420790 IRINEOPOLIS;1543;1493;-;3036
420800 ITA;933;798;-;1731
420810 ITAIOPOLIS;3785;3422;1;7208
420820 ITAJAI;35950;33707;8;69665
420830 ITAPEMA;8299;7719;1;16019
420840 ITAPIRANGA;2628;2341;-;4969
420845 ITAPOA;2529;2413;-;4942
420850 ITUPORANGA;4361;4127;-;8488
420860 JABORA;559;573;-;1132
420870 JACINTO MACHADO;1569;1517;12;3098
420880 JAGUARUNA;2582;2459;1;5042
420890 JARAGUA DO SUL;25275;23860;5;49140
420895 JARDINOPOLIS;254;246;-;500
420900 JOACABA;4187;4131;2;8320
420910 JOINVILLE;89809;85190;5;175004
420915 JOSE BOITEUX;1101;1118;-;2219
420917 JUPIA;355;294;-;649
420920 LACERDOPOLIS;268;268;-;536
420930 LAGES;28536;27233;7;55776
420940 LAGUNA;6348;6083;5;12436
420945 LAJEADO GRANDE;202;195;-;397
420950 LAURENTINO;963;936;-;1899
420960 LAURO MULLER;2239;2118;1;4358
420970 LEBON REGIS;2273;2067;1;4341
420980 LEOBERTO LEAL;556;503;-;1059
420985 LINDOIA DO SUL;623;561;-;1184
420990 LONTRAS;1744;1646;-;3390
421000 LUIZ ALVES;1862;1692;-;3554
421003 LUZERNA;700;609;1;1310
421005 MACIEIRA;243;229;-;472
421010 MAFRA;9565;9054;2;18621
421020 MAJOR GERCINO;394;373;-;767
421030 MAJOR VIEIRA;1147;1166;-;2313
421040 MARACAJA;1177;1032;-;2209
421050 MARAVILHA;3890;3512;-;7402
421055 MAREMA;252;238;-;490
421060 MASSARANDUBA;2204;1989;-;4193
421070 MATOS COSTA;494;427;-;921
421080 MELEIRO;1001;954;1;1956
421085 MIRIM DOCE;345;388;-;733
421090 MODELO;570;537;-;1107
421100 MONDAI;1373;1241;-;2614
421105 MONTE CARLO;1938;1924;1;3863
421110 MONTE CASTELO;1482;1421;1;2904
421120 MORRO DA FUMACA;2780;2687;-;5467
421125 MORRO GRANDE;425;431;-;856
421130 NAVEGANTES;13171;12698;3;25872
421140 NOVA ERECHIM;682;577;-;1259
421145 NOVA ITABERABA;592;531;-;1123
421150 NOVA TRENTO;1644;1509;1;3154
421160 NOVA VENEZA;2025;1837;-;3862
421165 NOVO HORIZONTE;390;347;-;737
421170 ORLEANS;3455;3298;-;6753
421175 OTACILIO COSTA;2730;2647;2;5379
421180 OURO;1000;898;-;1898
421185 OURO VERDE;300;314;-;614
421187 PAIAL;260;247;-;507
421189 PAINEL;340;322;-;662
421190 PALHOCA;26587;25175;20;51782
421200 PALMA SOLA;1449;1326;-;2775
421205 PALMEIRA;290;254;2;546
421210 PALMITOS;2205;2039;-;4244
421220 PAPANDUVA;3217;3142;1;6360
421223 PARAISO;643;569;-;1212
421225 PASSO DE TORRES;1025;928;2;1955
421227 PASSOS MAIA;806;757;-;1563
421230 PAULO LOPES;1055;1054;-;2109
421240 PEDRAS GRANDES;487;444;-;931
421250 PENHA;4104;3966;-;8070
421260 PERITIBA;326;351;-;677
421265 PESCARIA BRAVA;463;438;1;902
421270 PETROLANDIA;843;845;-;1688
421280 BALNEARIO PICARRAS;3226;3104;1;6331
421290 PINHALZINHO;2933;2854;-;5787
421300 PINHEIRO PRETO;491;406;-;897
421310 PIRATUBA;686;666;-;1352
421315 PLANALTO ALEGRE;395;335;-;730
421320 POMERODE;4064;3919;-;7983
421330 PONTE ALTA;898;874;-;1772
421335 PONTE ALTA DO NORTE;652;660;-;1312
421340 PONTE SERRADA;2145;1959;3;4107
421350 PORTO BELO;2628;2622;-;5250
421360 PORTO UNIAO;5965;5612;1;11578
421370 POUSO REDONDO;2633;2494;2;5129
421380 PRAIA GRANDE;1089;1065;-;2154
421390 PRESIDENTE CASTELLO BRANCO;189;181;-;370
421400 PRESIDENTE GETULIO;2510;2378;1;4889
421410 PRESIDENTE NEREU;289;304;-;593
421415 PRINCESA;428;369;-;797
421420 QUILOMBO;1688;1579;-;3267
421430 RANCHO QUEIMADO;387;359;-;746
421440 RIO DAS ANTAS;840;765;-;1605
421450 RIO DO CAMPO;1103;984;-;2087
421460 RIO DO OESTE;949;949;1;1899
421470 RIO DOS CEDROS;1269;1207;-;2476
421480 RIO DO SUL;10286;9683;1;19970
421490 RIO FORTUNA;757;609;-;1366
421500 RIO NEGRINHO;7824;7491;-;15315
421505 RIO RUFINO;382;357;-;739
421507 RIQUEZA;694;630;-;1324
421510 RODEIO;1388;1256;-;2644
421520 ROMELANDIA;698;641;-;1339
421530 SALETE;1173;1070;-;2243
421535 SALTINHO;649;653;-;1302
421540 SALTO VELOSO;632;546;-;1178
421545 SANGAO;2006;1918;2;3926
421550 SANTA CECILIA;3730;3596;-;7326
421555 SANTA HELENA;325;290;-;615
421560 SANTA ROSA DE LIMA;264;240;-;504
421565 SANTA ROSA DO SUL;1163;1219;-;2382
421567 SANTA TEREZINHA;1223;1173;-;2396
421568 SANTA TEREZINHA DO PROGRESSO;468;399;-;867
421569 SANTIAGO DO SUL;203;224;-;427
421570 SANTO AMARO DA IMPERATRIZ;3098;2949;-;6047
421575 SAO BERNARDINO;464;485;1;950
421580 SAO BENTO DO SUL;13781;13201;1;26983
421590 SAO BONIFACIO;313;316;-;629
421600 SAO CARLOS;1399;1294;-;2693
421605 SAO CRISTOVAO DO SUL;922;889;-;1811
421610 SAO DOMINGOS;1454;1320;-;2774
421620 SAO FRANCISCO DO SUL;7531;7044;-;14575
421625 SAO JOAO DO OESTE;686;651;-;1337
421630 SAO JOAO BATISTA;4361;4210;2;8573
421635 SAO JOAO DO ITAPERIU;588;535;-;1123
421640 SAO JOAO DO SUL;1013;1016;-;2029
421650 SAO JOAQUIM;4423;4135;3;8561
421660 SAO JOSE;35255;33543;10;68808
421670 SAO JOSE DO CEDRO;2048;1949;-;3997
421680 SAO JOSE DO CERRITO;1158;1084;-;2242
421690 SAO LOURENCO DO OESTE;4034;3744;-;7778
421700 SAO LUDGERO;1934;1782;2;3718
421710 SAO MARTINHO;441;414;-;855
421715 SAO MIGUEL DA BOA VISTA;247;238;-;485
421720 SAO MIGUEL DO OESTE;5751;5495;-;11246
421725 SAO PEDRO DE ALCANTARA;389;397;-;786
421730 SAUDADES;1282;1237;2;2521
421740 SCHROEDER;2628;2541;2;5171
421750 SEARA;2694;2558;-;5252
421755 SERRA ALTA;422;414;-;836
421760 SIDEROPOLIS;1746;1577;-;3323
421770 SOMBRIO;4789;4571;1;9361
421775 SUL BRASIL;392;418;-;810
421780 TAIO;2934;2727;-;5661
421790 TANGARA;1138;1072;-;2210
421795 TIGRINHOS;296;283;-;579
421800 TIJUCAS;6533;5977;1;12511
421810 TIMBE DO SUL;773;731;1;1505
421820 TIMBO;5387;4899;-;10286
421825 TIMBO GRANDE;1445;1394;2;2841
421830 TRES BARRAS;3602;3613;1;7216
421835 TREVISO;407;446;-;853
421840 TREZE DE MAIO;915;926;-;1841
421850 TREZE TILIAS;1112;1077;-;2189
421860 TROMBUDO CENTRAL;1080;1016;-;2096
421870 TUBARAO;14877;14247;10;29134
421875 TUNAPOLIS;663;608;-;1271
421880 TURVO;1900;1777;1;3678
421885 UNIAO DO OESTE;378;386;-;764
421890 URUBICI;1703;1613;1;3317
421895 URUPEMA;412;372;-;784
421900 URUSSANGA;2485;2400;-;4885
421910 VARGEAO;623;575;-;1198
421915 VARGEM;406;421;-;827
421917 VARGEM BONITA;897;832;-;1729
421920 VIDAL RAMOS;982;946;1;1929
421930 VIDEIRA;8965;8462;-;17427
421935 VITOR MEIRELES;994;928;-;1922
421940 WITMARSUM;597;552;-;1149
421950 XANXERE;7864;7319;4;15187
421960 XAVANTINA;429;388;-;817
421970 XAXIM;4769;4396;3;9168
421985 ZORTEA;554;475;-;1029
422000 BALNEARIO RINCAO;1015;899;-;1914
 MUNICIPIO IGNORADO - RS;1;-;-;1
430003 ACEGUA;690;729;-;1419
430005 AGUA SANTA;501;456;-;957
430010 AGUDO;2100;2071;-;4171
430020 AJURICABA;863;826;-;1689
430030 ALECRIM;728;680;-;1408
430040 ALEGRETE;11410;11198;-;22608
430045 ALEGRIA;491;437;-;928
430047 ALMIRANTE TAMANDARE DO SUL;211;201;-;412
430050 ALPESTRE;1027;907;-;1934
430055 ALTO ALEGRE;195;179;-;374
430057 ALTO FELIZ;294;232;-;526
430060 ALVORADA;38585;36610;12;75207
430063 AMARAL FERRADOR;778;752;1;1531
430064 AMETISTA DO SUL;1204;1193;-;2397
430066 ANDRE DA ROCHA;143;112;-;255
430070 ANTA GORDA;638;601;-;1239
430080 ANTONIO PRADO;1622;1511;-;3133
430085 ARAMBARE;468;472;-;940
430087 ARARICA;986;1013;-;1999
430090 ARATIBA;700;600;-;1300
430100 ARROIO DO MEIO;2610;2482;1;5093
430105 ARROIO DO SAL;1110;1124;-;2234
430107 ARROIO DO PADRE;300;262;-;562
430110 ARROIO DOS RATOS;2002;1920;-;3922
430120 ARROIO DO TIGRE;1911;1780;-;3691
430130 ARROIO GRANDE;2611;2613;1;5225
430140 ARVOREZINHA;1471;1319;1;2791
430150 AUGUSTO PESTANA;845;741;-;1586
430155 AUREA;392;383;-;775
430160 BAGE;19540;18658;3;38201
430163 BALNEARIO PINHAL;1464;1485;-;2949
430165 BARAO;562;557;1;1120
430170 BARAO DE COTEGIPE;835;741;-;1576
430175 BARAO DO TRIUNFO;798;817;-;1615
430180 BARRACAO;664;623;-;1287
430185 BARRA DO GUARITA;499;475;-;974
430187 BARRA DO QUARAI;509;502;-;1011
430190 BARRA DO RIBEIRO;1774;1681;1;3456
430192 BARRA DO RIO AZUL;160;155;-;315
430195 BARRA FUNDA;337;334;-;671
430200 BARROS CASSAL;1709;1633;-;3342
430205 BENJAMIN CONSTANT DO SUL;480;423;-;903
430210 BENTO GONCALVES;16107;15272;1;31380
430215 BOA VISTA DAS MISSOES;305;291;-;596
430220 BOA VISTA DO BURICA;856;795;-;1651
430222 BOA VISTA DO CADEADO;217;242;-;459
430223 BOA VISTA DO INCRA;386;324;1;711
430225 BOA VISTA DO SUL;233;221;-;454
430230 BOM JESUS;2063;2052;-;4115
430235 BOM PRINCIPIO;1698;1605;-;3303
430237 BOM PROGRESSO;342;352;-;694
430240 BOM RETIRO DO SUL;1760;1604;-;3364
430245 BOQUEIRAO DO LEAO;1175;1238;-;2413
430250 BOSSOROCA;845;797;1;1643
430258 BOZANO;216;229;-;445
430260 BRAGA;598;536;-;1134
430265 BROCHIER;497;439;-;936
430270 BUTIA;3072;2983;3;6058
430280 CACAPAVA DO SUL;4835;4640;2;9477
430290 CACEQUI;1705;1583;1;3289
430300 CACHOEIRA DO SUL;12667;11929;1;24597
430310 CACHOEIRINHA;21312;20366;6;41684
430320 CACIQUE DOBLE;719;672;-;1391
430330 CAIBATE;680;591;-;1271
430340 CAICARA;608;567;-;1175
430350 CAMAQUA;10236;9718;1;19955
430355 CAMARGO;319;348;-;667
430360 CAMBARA DO SUL;1104;997;-;2101
430367 CAMPESTRE DA SERRA;330;281;-;611
430370 CAMPINA DAS MISSOES;604;668;-;1272
430380 CAMPINAS DO SUL;677;647;-;1324
430390 CAMPO BOM;10164;9573;3;19740
430400 CAMPO NOVO;926;841;-;1767
430410 CAMPOS BORGES;454;465;-;919
430420 CANDELARIA;4280;4230;-;8510
430430 CANDIDO GODOI;776;679;-;1455
430435 CANDIOTA;1627;1507;-;3134
430440 CANELA;7601;7288;1;14890
430450 CANGUCU;7358;7018;-;14376
430460 CANOAS;59233;56129;6;115368
430461 CANUDOS DO VALE;165;167;-;332
430462 CAPAO BONITO DO SUL;190;183;-;373
430463 CAPAO DA CANOA;9361;8798;2;18161
430465 CAPAO DO CIPO;392;364;-;756
430466 CAPAO DO LEAO;3937;3831;2;7770
430467 CAPIVARI DO SUL;565;507;-;1072
430468 CAPELA DE SANTANA;1541;1487;-;3028
430469 CAPITAO;397;379;-;776
430470 CARAZINHO;9820;9399;-;19219
430471 CARAA;635;639;-;1274
430480 CARLOS BARBOSA;3439;3076;-;6515
430485 CARLOS GOMES;163;161;-;324
430490 CASCA;954;924;-;1878
430495 CASEIROS;368;327;-;695
430500 CATUIPE;1121;1044;-;2165
430510 CAXIAS DO SUL;69244;65989;13;135246
430511 CENTENARIO;314;283;-;597
430512 CERRITO;649;632;1;1282
430513 CERRO BRANCO;441;394;-;835
430515 CERRO GRANDE;393;381;-;774
430517 CERRO GRANDE DO SUL;1560;1530;-;3090
430520 CERRO LARGO;1662;1536;-;3198
430530 CHAPADA;1034;921;-;1955
430535 CHARQUEADAS;4639;4269;1;8909
430537 CHARRUA;554;593;-;1147
430540 CHIAPETTA;593;580;-;1173
430543 CHUI;649;580;-;1229
430544 CHUVISCA;731;751;-;1482
430545 CIDREIRA;1971;1829;1;3801
430550 CIRIACO;563;521;-;1084
430558 COLINAS;261;188;-;449
430560 COLORADO;289;290;-;579
430570 CONDOR;809;806;-;1615
430580 CONSTANTINA;1432;1468;-;2900
430583 COQUEIRO BAIXO;105;101;-;206
430585 COQUEIROS DO SUL;261;262;-;523
430587 CORONEL BARROS;306;306;-;612
430590 CORONEL BICACO;1286;1164;1;2451
430593 CORONEL PILAR;107;116;-;223
430595 COTIPORA;324;296;1;621
430597 COXILHA;450;452;-;902
430600 CRISSIUMAL;1759;1699;-;3458
430605 CRISTAL;1135;1118;-;2253
430607 CRISTAL DO SUL;412;424;-;836
430610 CRUZ ALTA;10782;10371;-;21153
430613 CRUZALTENSE;199;213;-;412
430620 CRUZEIRO DO SUL;1311;1252;-;2563
430630 DAVID CANABARRO;547;493;-;1040
430632 DERRUBADAS;456;441;-;897
430635 DEZESSEIS DE NOVEMBRO;333;308;-;641
430637 DILERMANDO DE AGUIAR;361;347;-;708
430640 DOIS IRMAOS;4255;4075;1;8331
430642 DOIS IRMAOS DAS MISSOES;342;371;-;713
430645 DOIS LAJEADOS;300;298;-;598
430650 DOM FELICIANO;2170;2087;-;4257
430655 DOM PEDRO DE ALCANTARA;248;258;-;506
430660 DOM PEDRITO;5785;5548;2;11335
430670 DONA FRANCISCA;406;373;-;779
430673 DOUTOR MAURICIO CARDOSO;515;499;-;1014
430675 DOUTOR RICARDO;201;162;-;363
430676 ELDORADO DO SUL;6155;5790;-;11945
430680 ENCANTADO;2821;2749;-;5570
430690 ENCRUZILHADA DO SUL;3893;3570;1;7464
430692 ENGENHO VELHO;314;287;-;601
430693 ENTRE-IJUIS;1210;1225;-;2435
430695 ENTRE RIOS DO SUL;411;418;-;829
430697 EREBANGO;480;448;-;928
430700 ERECHIM;15274;14552;-;29826
430705 ERNESTINA;426;377;-;803
430710 HERVAL;1043;930;-;1973
430720 ERVAL GRANDE;702;631;-;1333
430730 ERVAL SECO;1179;1081;-;2260
430740 ESMERALDA;451;417;-;868
430745 ESPERANCA DO SUL;455;480;-;935
430750 ESPUMOSO;2352;2239;-;4591
430755 ESTACAO;787;759;-;1546
