 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Adeq quant pré-natal*
Período:2000-2022
"Município";"Não fez pré-natal";"Inadequado";"Intermediário";"Adequado";"Mais que adequado";"Não Classificados";"Não informado";"Total"
"320120 CACHOEIRO DE ITAPEMIRIM";84;4284;3301;2861;13199;491;40714;64934
"320130 CARIACICA";1058;10244;6399;4815;28433;853;84186;135988
"320140 CASTELO";8;494;161;204;3061;56;6449;10433
"320150 COLATINA";42;1938;1247;1085;9251;691;21174;35428
"320160 CONCEICAO DA BARRA";10;680;221;224;2462;90;6842;10529
"320170 CONCEICAO DO CASTELO";3;306;76;127;979;45;2419;3955
"320180 DIVINO DE SAO LOURENCO";1;63;36;74;340;7;964;1485
"320190 DOMINGOS MARTINS";18;533;147;297;3141;81;6780;10997
"320200 DORES DO RIO PRETO";2;89;59;73;442;10;1155;1830
"320210 ECOPORANGA";7;387;291;263;1384;314;5107;7753
"320220 FUNDAO";16;436;107;126;1034;584;3454;5757
"320225 GOVERNADOR LINDENBERG";2;103;58;63;879;55;1459;2619
"320230 GUACUI";22;560;350;586;2301;26;6376;10221
"320240 GUARAPARI";160;3304;1346;1390;9728;206;22350;38484
"320245 IBATIBA";11;470;185;295;2238;48;5002;8249
"320250 IBIRACU";2;163;68;87;1088;30;2047;3485
"320255 IBITIRAMA";2;192;131;186;776;7;2403;3697
"320260 ICONHA";2;99;87;118;926;26;1956;3214
"320265 IRUPI";1;219;147;236;949;34;2403;3989
"320270 ITAGUACU";4;97;45;46;763;313;2427;3695
"320280 ITAPEMIRIM";11;836;493;514;3221;234;6735;12044
"320290 ITARANA";2;60;35;57;448;383;1920;2905
"320300 IUNA";9;457;292;420;2338;77;6010;9603
"320305 JAGUARE";8;651;169;240;3298;83;5887;10336
"320310 JERONIMO MONTEIRO";5;156;127;146;859;15;1823;3131
"320313 JOAO NEIVA";3;168;64;87;1068;295;2955;4640
"320316 LARANJA DA TERRA";1;97;17;30;551;181;1508;2385
"320320 LINHARES";33;2804;1560;1675;17157;132;32886;56247
"320330 MANTENOPOLIS";1;200;99;107;1031;64;2769;4271
"320332 MARATAIZES";15;777;608;524;2850;230;6935;11939
"320334 MARECHAL FLORIANO";6;356;109;190;1388;28;2819;4896
"320335 MARILANDIA";7;129;78;76;941;67;1673;2971
"320340 MIMOSO DO SUL";7;449;329;380;1273;44;4756;7238
"320350 MONTANHA";12;343;199;188;1587;30;3907;6266
"320360 MUCURICI";1;121;32;45;524;24;1184;1931
"320370 MUNIZ FREIRE";1;239;109;243;1490;39;4025;6146
"320380 MUQUI";6;232;96;118;1021;49;2780;4302
"320390 NOVA VENECIA";16;666;306;419;4813;83;9501;15804
"320400 PANCAS";1;201;120;110;1541;102;4002;6077
"320405 PEDRO CANARIO";13;629;252;305;1879;94;6422;9594
"320410 PINHEIROS";20;579;234;303;2050;73;5557;8816
"320420 PIUMA";8;648;369;323;1428;126;3389;6291
"320425 PONTO BELO";3;108;36;54;543;15;1343;2102
"320430 PRESIDENTE KENNEDY";4;276;191;178;1063;31;1720;3463
"320435 RIO BANANAL";2;233;151;186;1812;11;3250;5645
"320440 RIO NOVO DO SUL";1;184;148;142;724;42;1839;3080
"320450 SANTA LEOPOLDINA";9;197;79;96;576;164;1816;2937
"320455 SANTA MARIA DE JETIBA";2;176;184;689;4051;626;7443;13171
"320460 SANTA TERESA";3;193;67;87;1177;1155;4257;6939
"320465 SAO DOMINGOS DO NORTE";7;150;109;110;547;48;1619;2590
"320470 SAO GABRIEL DA PALHA";13;421;233;264;2787;108;6445;10271
"320480 SAO JOSE DO CALCADO";3;205;111;176;699;33;2137;3364
"320490 SAO MATEUS";38;2559;1120;1129;11509;391;24925;41671
"320495 SAO ROQUE DO CANAA";1;99;65;59;613;104;1697;2638
"320500 SERRA";830;13784;5475;5396;44035;958;96340;166818
"320501 SOORETAMA";11;663;305;318;2802;25;6231;10355
"320503 VARGEM ALTA";6;397;286;347;1234;50;4102;6422
"320506 VENDA NOVA DO IMIGRANTE";8;327;85;140;2314;71;3936;6881
"320510 VIANA";119;1441;852;898;6309;139;13875;23633
"320515 VILA PAVAO";3;85;50;69;716;30;1557;2510
"320517 VILA VALERIO";6;193;135;137;1285;55;2631;4442
"320520 VILA VELHA";806;10779;5368;4774;34515;1018;82893;140153
"320530 VITORIA";154;5229;2175;2129;29426;469;62887;102469
" MUNICIPIO IGNORADO - RJ";13;19;4;5;27;57;388;513
"330010 ANGRA DOS REIS";67;4392;1455;1425;14251;885;35607;58082
"330015 APERIBE";2;183;46;60;869;53;1567;2780
"330020 ARARUAMA";112;2665;1746;1332;6952;1954;21851;36612
"330022 AREAL";17;223;93;69;966;88;2091;3547
"330023 ARMACAO DOS BUZIOS";17;1199;391;453;3405;448;6807;12720
"330025 ARRAIAL DO CABO";26;788;347;364;1941;167;4591;8224
"330030 BARRA DO PIRAI";108;2416;620;769;5127;509;16818;26367
"330040 BARRA MANSA";49;3393;998;1125;12291;1014;33644;52514
"330045 BELFORD ROXO";1244;17569;5671;5717;28626;2787;108522;170136
"330050 BOM JARDIM";9;245;106;194;2176;58;5078;7866
"330060 BOM JESUS DO ITABAPOANA";9;552;163;829;2652;179;7184;11568
"330070 CABO FRIO";55;5854;2287;2316;12978;1596;40504;65590
"330080 CACHOEIRAS DE MACACU";20;1382;691;834;3205;580;10489;17201
"330090 CAMBUCI";8;254;85;99;756;73;2333;3608
"330093 CARAPEBUS";8;252;89;89;768;196;1870;3272
"330095 COMENDADOR LEVY GASPARIAN";3;186;72;79;610;87;1601;2638
"330100 CAMPOS DOS GOYTACAZES";1757;16325;3105;2988;33988;7572;101740;167475
"330110 CANTAGALO";7;303;55;83;1485;42;3786;5761
"330115 CARDOSO MOREIRA";16;195;65;112;734;81;2152;3355
"330120 CARMO";8;278;94;103;1351;22;3387;5243
"330130 CASIMIRO DE ABREU";16;1033;313;311;3071;607;5997;11348
"330140 CONCEICAO DE MACABU";12;430;144;149;1323;328;3770;6156
"330150 CORDEIRO";9;396;186;173;1389;59;3822;6034
"330160 DUAS BARRAS";7;214;94;160;555;82;2178;3290
"330170 DUQUE DE CAXIAS";3874;34204;8995;8906;56384;2369;192858;307590
"330180 ENGENHEIRO PAULO DE FRONTIN";2;200;56;84;766;81;2059;3248
"330185 GUAPIMIRIM";49;1393;495;564;3342;584;9719;16146
"330187 IGUABA GRANDE";6;489;199;202;2000;173;3419;6488
"330190 ITABORAI";162;5321;2428;2731;16239;457;48187;75525
"330200 ITAGUAI";185;3836;1413;1391;7885;1231;24832;40773
"330205 ITALVA";9;192;102;231;944;22;2384;3884
"330210 ITAOCARA";11;464;128;253;1503;97;4019;6475
"330220 ITAPERUNA";37;1111;812;1102;7284;126;17412;27884
"330225 ITATIAIA";8;619;140;202;2385;177;5538;9069
"330227 JAPERI";84;3227;1047;1109;6004;1007;22054;34532
"330230 LAJE DO MURIAE";1;197;35;37;315;126;1550;2261
"330240 MACAE";69;5756;1695;1604;19934;4796;44311;78165
"330245 MACUCO";2;171;64;72;585;26;1632;2552
"330250 MAGE";344;7701;2432;2906;17334;673;48762;80152
"330260 MANGARATIBA";21;977;285;281;2010;950;7046;11570
"330270 MARICA";55;2720;915;1032;11368;1437;19113;36640
"330280 MENDES";5;325;85;95;1134;134;2889;4667
"330285 MESQUITA";181;4813;1350;1508;11891;976;31169;51888
"330290 MIGUEL PEREIRA";10;450;312;231;1669;111;4363;7146
"330300 MIRACEMA";13;461;126;202;2332;57;5779;8970
"330310 NATIVIDADE";1;256;98;129;1088;9;2887;4468
"330320 NILOPOLIS";143;3608;1143;1245;8919;863;31905;47826
"330330 NITEROI";367;7298;1855;2266;40242;1539;86660;140227
"330340 NOVA FRIBURGO";106;3001;1091;1441;13002;313;34013;52967
"330350 NOVA IGUACU";672;24148;7321;8082;58870;4954;176402;280449
"330360 PARACAMBI";13;770;223;384;2798;375;8050;12613
"330370 PARAIBA DO SUL";29;690;290;291;3041;336;7519;12196
"330380 PARATY";11;956;261;219;4022;170;8053;13692
"330385 PATY DO ALFERES";11;573;350;286;2053;110;5329;8712
"330390 PETROPOLIS";54;6790;1550;1531;23123;273;58805;92126
"330395 PINHEIRAL";8;408;103;104;1901;279;4184;6987
"330400 PIRAI";3;436;47;63;2571;138;4863;8121
"330410 PORCIUNCULA";3;187;49;203;1400;35;3345;5222
"330411 PORTO REAL";6;298;59;88;2042;68;3533;6094
"330412 QUATIS";-;211;44;64;1078;58;2466;3921
"330414 QUEIMADOS";165;5001;1400;1518;10892;881;34252;54109
"330415 QUISSAMA";7;443;70;72;2127;199;4148;7066
"330420 RESENDE";7;2147;493;809;11398;390;24193;39437
"330430 RIO BONITO";15;773;468;541;4659;157;11432;18045
"330440 RIO CLARO";4;332;58;79;1280;75;3182;5010
"330450 RIO DAS FLORES";1;186;33;40;655;22;1602;2539
"330452 RIO DAS OSTRAS";78;3205;1014;942;7698;5710;19184;37831
"330455 RIO DE JANEIRO";4412;101676;28595;32692;487336;60005;1211326;1926042
"330460 SANTA MARIA MADALENA";4;184;70;91;479;38;1743;2609
"330470 SANTO ANTONIO DE PADUA";8;508;228;317;3149;71;7243;11524
"330475 SAO FRANCISCO DE ITABAPOANA";102;1242;257;295;2794;558;8149;13397
"330480 SAO FIDELIS";36;576;321;399;1782;668;6325;10107
"330490 SAO GONCALO";406;18548;6690;8976;60764;1533;172945;269862
"330500 SAO JOAO DA BARRA";47;1027;162;175;2844;673;6163;11091
"330510 SAO JOAO DE MERITI";985;14006;4333;4283;28812;1764;101520;155703
"330513 SAO JOSE DE UBA";4;97;89;122;656;9;1326;2303
"330515 SAO JOSE DO VALE DO RIO PRETO";8;408;105;110;1724;92;4029;6476
"330520 SAO PEDRO DA ALDEIA";50;2079;1465;1439;8512;534;16271;30350
"330530 SAO SEBASTIAO DO ALTO";6;167;76;98;494;35;1576;2452
"330540 SAPUCAIA";12;313;133;144;981;87;2702;4372
"330550 SAQUAREMA";44;1948;923;878;5845;1002;13116;23756
"330555 SEROPEDICA";23;1765;577;718;4530;2264;14597;24474
"330560 SILVA JARDIM";5;320;156;176;1753;75;4521;7006
"330570 SUMIDOURO";3;256;105;132;1434;55;2817;4802
"330575 TANGUA";19;582;264;407;2677;67;5844;9860
"330580 TERESOPOLIS";15;2084;1609;1597;13473;976;34400;54154
"330590 TRAJANO DE MORAES";2;181;112;212;431;53;1392;2383
"330600 TRES RIOS";49;1852;764;757;5800;758;16550;26530
"330610 VALENCA";55;1551;386;371;4778;205;13794;21140
"330615 VARRE-SAI";1;168;86;139;934;56;2644;4028
"330620 VASSOURAS";6;774;192;180;2959;398;7643;12152
"330630 VOLTA REDONDA";44;4683;1138;1274;17729;3635;47980;76483
" MUNICIPIO IGNORADO - SP";10;3;2;1;20;35;3637;3708
"350010 ADAMANTINA";4;235;73;102;2884;27;5293;8618
"350020 ADOLFO";2;55;17;11;330;5;530;950
"350030 AGUAI";12;600;146;173;2536;156;6689;10312
"350040 AGUAS DA PRATA";3;144;24;27;436;35;1057;1726
"350050 AGUAS DE LINDOIA";9;348;100;100;1432;48;3548;5585
"350055 AGUAS DE SANTA BARBARA";7;99;38;38;447;32;1058;1719
"350060 AGUAS DE SAO PEDRO";-;22;5;11;206;3;359;606
"350070 AGUDOS";34;936;224;237;3131;61;7260;11883
"350075 ALAMBARI";2;72;22;29;467;33;830;1455
"350080 ALFREDO MARCONDES";-;71;15;15;287;21;541;950
"350090 ALTAIR";1;36;8;10;325;6;681;1067
"350100 ALTINOPOLIS";6;279;28;37;1088;216;2926;4580
"350110 ALTO ALEGRE";2;22;10;23;273;5;623;958
"350115 ALUMINIO";5;402;77;120;1384;48;3901;5937
"350120 ALVARES FLORENCE";-;33;8;11;221;16;458;747
"350130 ALVARES MACHADO";5;485;116;160;2001;207;5073;8047
"350140 ALVARO DE CARVALHO";1;68;24;31;248;2;743;1117
"350150 ALVINLANDIA";-;76;19;20;242;10;636;1003
"350160 AMERICANA";132;3050;1089;1099;17714;236;36614;59934
"350170 AMERICO BRASILIENSE";21;544;126;162;3173;115;7296;11437
"350180 AMERICO DE CAMPOS";2;35;13;14;407;15;813;1299
"350190 AMPARO";9;814;223;261;6000;126;11315;18748
"350200 ANALANDIA";1;85;24;9;299;7;694;1119
"350210 ANDRADINA";4;254;383;419;4886;177;9819;15942
"350220 ANGATUBA";4;266;71;87;2480;49;4671;7628
"350230 ANHEMBI";-;101;30;34;529;3;1087;1784
"350240 ANHUMAS";-;55;12;23;330;33;663;1116
"350250 APARECIDA";14;560;184;208;2644;236;6960;10806
"350260 APARECIDA D'OESTE";4;37;8;5;310;24;711;1099
"350270 APIAI";10;440;125;155;2351;30;6143;9254
"350275 ARACARIGUAMA";13;423;92;101;2283;112;4015;7039
"350280 ARACATUBA";145;2510;974;960;15990;221;30909;51709
"350290 ARACOIABA DA SERRA";11;436;148;161;2638;82;5141;8617
"350300 ARAMINA";-;80;41;39;438;14;759;1371
"350310 ARANDU";6;133;24;36;533;4;1223;1959
"350315 ARAPEI";1;32;5;10;95;4;456;603
"350320 ARARAQUARA";135;2762;873;908;19385;423;34410;58896
"350330 ARARAS";71;2250;392;492;10414;102;20989;34710
"350335 ARCO-IRIS";-;18;7;18;142;3;310;498
"350340 AREALVA";1;87;13;25;615;15;1160;1916
"350350 AREIAS";1;48;41;62;226;10;768;1156
"350360 AREIOPOLIS";7;188;51;55;880;11;2384;3576
"350370 ARIRANHA";1;64;49;40;591;6;1589;2340
"350380 ARTUR NOGUEIRA";15;807;270;252;3736;551;8301;13932
"350390 ARUJA";42;1526;817;907;9125;81;17837;30335
"350395 ASPASIA";-;19;1;12;149;18;259;458
"350400 ASSIS";41;1327;419;473;8311;115;17056;27742
"350410 ATIBAIA";95;2611;977;1196;13028;470;26708;45085
"350420 AURIFLAMA";4;199;47;71;1061;20;2400;3802
"350430 AVAI";5;96;36;45;405;2;928;1517
"350440 AVANHANDAVA";-;140;59;69;948;25;2030;3271
"350450 AVARE";157;1600;376;480;8637;104;16947;28301
"350460 BADY BASSITT";10;244;68;96;2101;3;2446;4968
"350470 BALBINOS";-;15;5;9;89;2;211;331
"350480 BALSAMO";2;54;16;32;662;1;1198;1965
"350490 BANANAL";1;138;38;39;526;40;2066;2848
"350500 BARAO DE ANTONINA";2;87;12;26;289;9;546;971
"350510 BARBOSA";2;89;27;35;599;10;1273;2035
"350520 BARIRI";21;316;156;167;2740;94;5619;9113
"350530 BARRA BONITA";12;459;123;169;2060;36;5836;8695
"350535 BARRA DO CHAPEU";2;79;18;16;584;6;1207;1912
"350540 BARRA DO TURVO";2;162;47;50;434;17;1730;2442
"350550 BARRETOS";31;1647;593;750;10172;147;20246;33586
"350560 BARRINHA";12;814;189;193;2497;338;6735;10778
"350570 BARUERI";537;5005;2471;2516;34915;4327;74159;123930
"350580 BASTOS";5;266;54;74;2081;63;4389;6932
"350590 BATATAIS";12;1023;139;207;4468;532;10126;16507
"350600 BAURU";340;5361;2055;2341;31361;97;65289;106844
"350610 BEBEDOURO";34;1333;423;650;5567;122;13316;21445
"350620 BENTO DE ABREU";-;37;3;10;232;4;465;751
"350630 BERNARDINO DE CAMPOS";1;88;31;41;919;61;1994;3135
"350635 BERTIOGA";114;1732;637;575;5695;156;11943;20852
"350640 BILAC";2;84;29;23;521;15;1046;1720
"350650 BIRIGUI";32;1935;569;604;9196;238;18747;31321
"350660 BIRITIBA-MIRIM";43;544;181;198;2396;15;5748;9125
"350670 BOA ESPERANCA DO SUL";10;264;72;72;1117;44;2972;4551
"350680 BOCAINA";1;106;35;64;802;211;2027;3246
"350690 BOFETE";5;187;30;48;829;1;1757;2857
"350700 BOITUVA";26;917;321;384;5542;54;9572;16816
"350710 BOM JESUS DOS PERDOES";17;486;169;213;1899;59;3792;6635
"350715 BOM SUCESSO DE ITARARE";3;74;14;19;508;2;962;1582
"350720 BORA";-;5;-;3;93;-;124;225
"350730 BORACEIA";1;38;23;18;464;4;829;1377
"350740 BORBOREMA";2;149;41;51;996;52;2341;3632
"350745 BOREBI";-;56;11;10;231;1;456;765
"350750 BOTUCATU";56;1639;549;659;12651;18;23768;39340
"350760 BRAGANCA PAULISTA";102;2618;1080;1280;14508;181;29554;49323
"350770 BRAUNA";1;87;17;33;467;11;839;1455
"350775 BREJO ALEGRE";-;39;8;4;191;2;447;691
"350780 BRODOWSKI";8;566;57;91;1676;328;3832;6558
"350790 BROTAS";13;209;109;123;2162;43;4260;6919
"350800 BURI";11;355;123;151;2097;6;5015;7758
"350810 BURITAMA";3;214;17;49;1400;10;2696;4389
"350820 BURITIZAL";2;37;9;20;350;7;684;1109
"350830 CABRALIA PAULISTA";6;83;15;32;333;2;916;1387
"350840 CABREUVA";30;861;230;313;5326;40;9683;16483
"350850 CACAPAVA";29;1532;445;468;8358;115;17748;28695
"350860 CACHOEIRA PAULISTA";3;470;230;235;2169;372;6037;9516
"350870 CACONDE";8;145;31;35;1533;21;3563;5336
"350880 CAFELANDIA";16;323;122;165;1332;19;3306;5283
"350890 CAIABU";-;62;14;23;250;15;697;1061
"350900 CAIEIRAS";84;1905;861;926;8285;154;18658;30873
"350910 CAIUA";2;71;26;40;217;6;721;1083
"350920 CAJAMAR";33;1707;699;741;8280;168;15779;27407
"350925 CAJATI";9;640;161;190;3064;69;7728;11861
"350930 CAJOBI";6;95;45;61;694;15;1628;2544
"350940 CAJURU";3;464;223;280;1924;220;5128;8242
"350945 CAMPINA DO MONTE ALEGRE";-;48;19;26;580;4;1153;1830
"350950 CAMPINAS";224;14553;6870;6239;95157;8515;202673;334231
"350960 CAMPO LIMPO PAULISTA";26;1627;590;677;6092;176;16285;25473
"350970 CAMPOS DO JORDAO";20;833;183;248;5151;67;12032;18534
"350980 CAMPOS NOVOS PAULISTA";1;72;15;20;409;13;868;1398
"350990 CANANEIA";5;378;129;154;918;38;2828;4450
"350995 CANAS";-;112;53;56;406;74;921;1622
"351000 CANDIDO MOTA";19;325;124;126;2200;102;5406;8302
"351010 CANDIDO RODRIGUES";-;17;4;5;159;28;361;574
"351015 CANITAR";-;66;30;40;449;95;1115;1795
"351020 CAPAO BONITO";13;517;138;173;4891;28;11259;17019
"351030 CAPELA DO ALTO";11;376;83;123;1877;42;3632;6144
"351040 CAPIVARI";25;794;279;373;4617;55;10175;16318
"351050 CARAGUATATUBA";59;1058;1125;1102;12092;54;20902;36392
"351060 CARAPICUIBA";507;11528;6373;5255;32994;1901;94577;153135
"351070 CARDOSO";1;136;25;42;766;31;2006;3007
"351080 CASA BRANCA";5;356;50;58;2007;168;4967;7611
"351090 CASSIA DOS COQUEIROS";-;36;9;7;116;22;386;576
"351100 CASTILHO";6;225;138;174;1478;66;3487;5574
"351110 CATANDUVA";53;1009;558;597;9523;142;19163;31045
"351120 CATIGUA";2;69;38;43;563;6;1260;1981
"351130 CEDRAL";2;113;27;49;831;4;1090;2116
"351140 CERQUEIRA CESAR";7;308;117;123;1439;225;3413;5632
"351150 CERQUILHO";6;523;127;176;3696;40;6633;11201
"351160 CESARIO LANGE";9;277;68;76;1754;27;2910;5121
"351170 CHARQUEADA";4;209;90;122;1368;4;2848;4645
"351190 CLEMENTINA";1;114;25;17;710;22;1340;2229
"351200 COLINA";5;226;59;81;1560;120;3346;5397
"351210 COLOMBIA";1;193;55;53;509;13;1360;2184
"351220 CONCHAL";19;556;96;104;2874;89;5776;9514
"351230 CONCHAS";3;208;69;93;1397;20;3527;5317
"351240 CORDEIROPOLIS";17;313;66;143;2049;22;3853;6463
"351250 COROADOS";2;87;17;24;390;10;806;1336
"351260 CORONEL MACEDO";1;73;14;22;315;6;899;1330
"351270 CORUMBATAI";1;68;6;20;346;3;652;1096
"351280 COSMOPOLIS";34;959;247;274;4457;390;11524;17885
"351290 COSMORAMA";-;93;22;24;594;22;951;1706
"351300 COTIA";399;5347;2724;2501;22322;3869;48897;86059
"351310 CRAVINHOS";11;862;88;125;2079;452;5992;9609
"351320 CRISTAIS PAULISTA";3;88;56;70;766;15;1442;2440
"351330 CRUZALIA";-;16;8;11;153;-;360;548
"351340 CRUZEIRO";38;1103;817;912;5228;296;15750;24144
"351350 CUBATAO";126;2673;681;712;10152;221;28497;43062
"351360 CUNHA";7;254;119;177;1541;27;4233;6358
"351370 DESCALVADO";1;472;66;122;2316;133;5355;8465
"351380 DIADEMA";315;7100;2709;2734;35803;461;96911;146033
"351385 DIRCE REIS";-;11;4;5;104;16;253;393
"351390 DIVINOLANDIA";3;67;23;50;938;23;2072;3176
"351400 DOBRADA";3;81;49;70;751;13;1672;2639
"351410 DOIS CORREGOS";13;374;102;137;1745;498;5192;8061
"351420 DOLCINOPOLIS";-;23;4;9;153;21;308;518
"351430 DOURADO";1;128;21;28;580;31;1387;2176
"351440 DRACENA";7;446;150;236;3462;64;6920;11285
"351450 DUARTINA";7;178;77;90;876;4;2227;3459
"351460 DUMONT";2;172;38;47;654;73;1291;2277
"351470 ECHAPORA";4;73;23;27;582;12;1218;1939
"351480 ELDORADO";6;383;87;96;1213;38;3633;5456
"351490 ELIAS FAUSTO";4;288;61;88;1379;27;2972;4819
"351492 ELISIARIO";-;32;16;20;221;2;478;769
"351495 EMBAUBA";-;20;17;9;143;2;387;578
"351500 EMBU DAS ARTES";277;5939;2951;2575;24050;739;63056;99587
"351510 EMBU-GUACU";58;1173;469;513;5509;392;13711;21825
"351512 EMILIANOPOLIS";1;36;12;19;189;7;465;729
"351515 ENGENHEIRO COELHO";10;350;74;191;1768;25;2991;5409
"351518 ESPIRITO SANTO DO PINHAL";16;516;115;170;3026;138;7351;11332
"351519 ESPIRITO SANTO DO TURVO";2;43;10;17;473;5;944;1494
"351520 ESTRELA D'OESTE";5;122;23;28;632;31;1351;2192
"351530 ESTRELA DO NORTE";-;46;9;10;214;14;537;830
"351535 EUCLIDES DA CUNHA PAULISTA";1;111;38;36;722;17;2041;2966
"351540 FARTURA";3;193;35;36;1556;8;2834;4665
"351550 FERNANDOPOLIS";18;537;274;329;5684;58;10301;17201
"351560 FERNANDO PRESTES";-;35;31;18;412;3;762;1261
"351565 FERNAO";-;18;5;9;129;4;258;423
"351570 FERRAZ DE VASCONCELOS";189;4622;2329;2056;14428;1249;40464;65337
"351580 FLORA RICA";-;13;5;15;111;1;288;433
"351590 FLOREAL";-;22;6;11;160;2;354;555
"351600 FLORIDA PAULISTA";1;75;20;29;839;13;1992;2969
"351610 FLORINIA";1;52;18;21;187;3;541;823
"351620 FRANCA";264;4688;3711;3950;29176;435;67031;109255
"351630 FRANCISCO MORATO";283;4014;1730;1630;17025;952;39457;65091
"351640 FRANCO DA ROCHA";203;3299;1425;1419;12744;375;29294;48759
"351650 GABRIEL MONTEIRO";-;31;2;6;209;5;415;668
"351660 GALIA";2;81;27;26;447;11;1184;1778
"351670 GARCA";13;476;237;266;3558;54;8269;12873
"351680 GASTAO VIDIGAL";5;60;18;32;232;5;801;1153
"351685 GAVIAO PEIXOTO";3;62;12;14;462;14;873;1440
"351690 GENERAL SALGADO";3;121;29;36;729;42;1621;2581
"351700 GETULINA";6;99;46;44;670;15;1805;2685
"351710 GLICERIO";1;47;25;30;354;5;847;1309
"351720 GUAICARA";20;181;118;118;836;24;2087;3384
"351730 GUAIMBE";4;111;34;39;414;14;1227;1843
"351740 GUAIRA";10;368;67;68;3521;38;7110;11182
"351750 GUAPIACU";5;235;84;122;1756;6;2739;4947
"351760 GUAPIARA";3;229;35;31;1772;30;4599;6699
"351770 GUARA";7;357;50;80;1420;73;4216;6203
"351780 GUARACAI";1;39;22;23;538;12;1373;2008
"351790 GUARACI";5;146;40;72;708;32;1941;2944
"351800 GUARANI D'OESTE";-;19;2;5;143;5;291;465
"351810 GUARANTA";2;166;29;42;410;6;1344;1999
"351820 GUARARAPES";8;317;47;60;2755;26;5427;8640
"351830 GUARAREMA";11;403;56;80;3076;45;5928;9599
"351840 GUARATINGUETA";23;2146;773;762;9140;278;21830;34952
"351850 GUAREI";1;164;31;38;1044;57;2182;3517
"351860 GUARIBA";29;517;247;356;3066;154;7922;12291
"351870 GUARUJA";252;6389;2562;2501;25667;1010;68848;107229
"351880 GUARULHOS";1811;28520;19012;16974;114451;2167;296323;479258
"351885 GUATAPARA";3;156;17;38;532;111;1415;2272
"351890 GUZOLANDIA";2;80;11;16;364;12;892;1377
"351900 HERCULANDIA";2;147;50;65;691;10;1615;2580
"351905 HOLAMBRA";1;442;40;56;1259;99;2360;4257
"351907 HORTOLANDIA";110;3615;1350;1257;18556;1767;37682;64337
"351910 IACANGA";2;229;21;28;733;233;1690;2936
"351920 IACRI";2;63;15;20;426;9;1007;1542
"351925 IARAS";1;116;44;34;439;46;885;1565
"351930 IBATE";8;836;107;130;3159;165;6825;11230
"351940 IBIRA";5;127;31;72;1013;1;1731;2980
"351950 IBIRAREMA";2;72;28;48;412;63;1251;1876
"351960 IBITINGA";14;745;145;276;5446;75;9138;15839
"351970 IBIUNA";76;1762;551;676;6043;523;15902;25533
"351980 ICEM";4;119;30;36;663;2;1579;2433
"351990 IEPE";-;66;17;17;741;10;1409;2260
"352000 IGARACU DO TIETE";9;485;93;141;1658;42;4607;7035
"352010 IGARAPAVA";7;545;87;123;1854;135;5148;7899
"352020 IGARATA";7;223;65;80;677;150;1938;3140
"352030 IGUAPE";19;567;172;215;2043;56;6452;9524
"352040 ILHABELA";10;359;130;174;3724;21;6507;10925
"352042 ILHA COMPRIDA";7;274;69;67;884;29;1543;2873
"352044 ILHA SOLTEIRA";6;196;83;118;1673;267;4018;6361
"352050 INDAIATUBA";70;3946;881;1105;21973;533;37801;66309
"352060 INDIANA";-;53;20;20;379;36;802;1310
"352070 INDIAPORA";-;33;4;11;289;6;604;947
"352080 INUBIA PAULISTA";1;30;13;13;257;5;574;893
"352090 IPAUSSU";5;202;44;48;1074;196;2759;4328
"352100 IPERO";12;353;117;125;2566;44;4674;7891
"352110 IPEUNA";1;123;24;22;617;13;1145;1945
"352115 IPIGUA";-;70;20;25;527;2;672;1316
"352120 IPORANGA";1;89;23;25;337;12;938;1425
"352130 IPUA";3;161;33;33;1288;37;2961;4516
"352140 IRACEMAPOLIS";8;203;63;144;1863;9;3444;5734
"352150 IRAPUA";-;65;29;29;582;10;1201;1916
"352160 IRAPURU";2;67;34;35;426;5;1012;1581
"352170 ITABERA";5;206;35;45;1775;12;3700;5778
"352180 ITAI";15;604;137;152;1889;29;4995;7821
"352190 ITAJOBI";-;109;57;57;1348;29;2170;3770
"352200 ITAJU";2;38;14;19;265;4;473;815
"352210 ITANHAEM";184;1955;622;530;9055;195;19040;31581
"352215 ITAOCA";2;61;6;10;297;6;669;1051
"352220 ITAPECERICA DA SERRA";210;3660;1666;1678;15175;823;43477;66689
"352230 ITAPETININGA";82;2391;601;662;14404;728;31378;50246
"352240 ITAPEVA";40;1285;254;282;10708;27;22233;34829
"352250 ITAPEVI";368;6485;3645;3229;19826;2790;52952;89295
"352260 ITAPIRA";23;811;367;407;5284;130;11196;18218
"352265 ITAPIRAPUA PAULISTA";2;75;10;10;486;5;958;1546
"352270 ITAPOLIS";27;747;153;161;2890;59;6862;10899
"352280 ITAPORANGA";12;275;41;84;1190;26;3224;4852
"352290 ITAPUI";5;224;55;75;1219;33;2230;3841
"352300 ITAPURA";-;59;21;30;328;61;731;1230
"352310 ITAQUAQUECETUBA";248;9394;6313;5968;29019;1262;77748;129952
"352320 ITARARE";8;650;385;380;4157;8;10970;16558
"352330 ITARIRI";17;289;45;74;1033;29;2464;3951
"352340 ITATIBA";20;1574;328;448;10131;94;18699;31294
"352350 ITATINGA";13;315;84;101;1811;14;4409;6747
"352360 ITIRAPINA";4;256;52;79;957;118;2491;3957
"352370 ITIRAPUA";1;57;47;50;327;146;1097;1725
"352380 ITOBI";2;65;25;23;661;10;1243;2029
