 Nascidos vivos - Brasil;;;;;
Nascim p/resid.mãe por Município e Anomalia congênita;;;;;
Período:2000-2022;;;;;
Município;Sim;Não;Não ou ignorado;Ignorado;Total
211110 SAO JOAO DOS PATOS;24;8774;329;548;9675
211120 SAO JOSE DE RIBAMAR;328;55988;1152;3742;61210
211125 SAO JOSE DOS BASILIOS;4;1733;126;616;2479
211130 SAO LUIS;2404;331752;21086;41324;396566
211140 SAO LUIS GONZAGA DO MARANHAO;17;7782;66;123;7988
211150 SAO MATEUS DO MARANHAO;30;15771;746;81;16628
211153 SAO PEDRO DA AGUA BRANCA;20;3792;142;36;3990
211157 SAO PEDRO DOS CRENTES;3;1680;68;15;1766
211160 SAO RAIMUNDO DAS MANGABEIRAS;17;7078;207;68;7370
211163 SAO RAIMUNDO DO DOCA BEZERRA;6;2075;55;10;2146
211167 SAO ROBERTO;6;1953;40;4;2003
211170 SAO VICENTE FERRER;11;6276;326;790;7403
211172 SATUBINHA;7;2551;20;20;2598
211174 SENADOR ALEXANDRE COSTA;9;4007;199;67;4282
211176 SENADOR LA ROCQUE;41;7274;339;140;7794
211178 SERRANO DO MARANHAO;6;3243;158;295;3702
211180 SITIO NOVO;40;6097;285;93;6515
211190 SUCUPIRA DO NORTE;7;3886;28;28;3949
211195 SUCUPIRA DO RIACHAO;9;1669;55;47;1780
211200 TASSO FRAGOSO;5;2893;63;31;2992
211210 TIMBIRAS;29;11830;448;234;12541
211220 TIMON;232;61741;2864;1214;66051
211223 TRIZIDELA DO VALE;12;7252;320;507;8091
211227 TUFILANDIA;6;2333;57;37;2433
211230 TUNTUM;33;12033;685;1422;14173
211240 TURIACU;31;12637;253;472;13393
211245 TURILANDIA;20;7165;101;50;7336
211250 TUTOIA;46;21379;191;557;22173
211260 URBANO SANTOS;34;14409;163;196;14802
211270 VARGEM GRANDE;92;19751;1120;386;21349
211280 VIANA;36;20905;798;479;22218
211285 VILA NOVA DOS MARTIRIOS;16;3387;61;72;3536
211290 VITORIA DO MEARIM;52;12927;673;148;13800
211300 VITORINO FREIRE;29;12353;560;134;13076
211400 ZE DOCA;44;19261;1236;164;20705
 MUNICIPIO IGNORADO - PI;-;24;2;2;28
220005 ACAUA;9;1972;134;152;2267
220010 AGRICOLANDIA;10;1561;94;40;1705
220020 AGUA BRANCA;26;6091;252;183;6552
220025 ALAGOINHA DO PIAUI;11;2110;112;8;2241
220027 ALEGRETE DO PIAUI;11;1511;52;8;1582
220030 ALTO LONGA;12;3003;193;269;3477
220040 ALTOS;70;13719;716;393;14898
220045 ALVORADA DO GURGUEIA;12;1891;61;30;1994
220050 AMARANTE;28;6094;341;150;6613
220060 ANGICAL DO PIAUI;11;2068;70;65;2214
220070 ANISIO DE ABREU;7;3024;180;32;3243
220080 ANTONIO ALMEIDA;6;1021;34;11;1072
220090 AROAZES;7;1711;98;22;1838
220095 AROEIRAS DO ITAIM;2;452;-;1;455
220100 ARRAIAL;7;1514;110;21;1652
220105 ASSUNCAO DO PIAUI;12;3149;112;47;3320
220110 AVELINO LOPES;19;4215;222;196;4652
220115 BAIXA GRANDE DO RIBEIRO;16;4955;179;187;5337
220117 BARRA D'ALCANTARA;4;1109;74;35;1222
220120 BARRAS;57;17536;953;310;18856
220130 BARREIRAS DO PIAUI;2;928;32;61;1023
220140 BARRO DURO;5;2096;84;107;2292
220150 BATALHA;46;8189;511;189;8935
220155 BELA VISTA DO PIAUI;6;1126;29;88;1249
220157 BELEM DO PIAUI;6;816;21;5;848
220160 BENEDITINOS;15;2758;151;92;3016
220170 BERTOLINIA;7;1738;85;130;1960
220173 BETANIA DO PIAUI;11;2283;156;326;2776
220177 BOA HORA;4;2154;107;40;2305
220180 BOCAINA;12;1101;66;2;1181
220190 BOM JESUS;73;10198;437;75;10783
220191 BOM PRINCIPIO DO PIAUI;6;2267;170;75;2518
220192 BONFIM DO PIAUI;2;1773;61;13;1849
220194 BOQUEIRAO DO PIAUI;7;2193;63;34;2297
220196 BRASILEIRA;4;2134;130;56;2324
220198 BREJO DO PIAUI;3;1231;74;12;1320
220200 BURITI DOS LOPES;39;7670;468;207;8384
220202 BURITI DOS MONTES;9;2010;128;24;2171
220205 CABECEIRAS DO PIAUI;11;2899;160;48;3118
220207 CAJAZEIRAS DO PIAUI;3;900;31;16;950
220208 CAJUEIRO DA PRAIA;4;2241;83;35;2363
220209 CALDEIRAO GRANDE DO PIAUI;5;1591;82;26;1704
220210 CAMPINAS DO PIAUI;4;1536;73;116;1729
220211 CAMPO ALEGRE DO FIDALGO;6;1535;50;25;1616
220213 CAMPO GRANDE DO PIAUI;11;1919;93;7;2030
220217 CAMPO LARGO DO PIAUI;10;2459;99;36;2604
220220 CAMPO MAIOR;26;14969;796;224;16015
220225 CANAVIEIRA;3;1121;75;53;1252
220230 CANTO DO BURITI;33;6657;409;67;7166
220240 CAPITAO DE CAMPOS;19;3679;175;73;3946
220245 CAPITAO GERVASIO OLIVEIRA;3;1238;33;20;1294
220250 CARACOL;12;3792;157;75;4036
220253 CARAUBAS DO PIAUI;11;1916;81;30;2038
220255 CARIDADE DO PIAUI;7;1653;65;44;1769
220260 CASTELO DO PIAUI;43;7021;439;67;7570
220265 CAXINGO;10;1982;93;56;2141
220270 COCAL;45;9832;342;108;10327
220271 COCAL DE TELHA;8;1572;83;34;1697
220272 COCAL DOS ALVES;11;1745;97;21;1874
220273 COIVARAS;5;1111;34;35;1185
220275 COLONIA DO GURGUEIA;12;2029;113;33;2187
220277 COLONIA DO PIAUI;8;2087;137;31;2263
220280 CONCEICAO DO CANINDE;8;1512;111;71;1702
220285 CORONEL JOSE DIAS;2;1303;40;7;1352
220290 CORRENTE;28;9931;432;145;10536
220300 CRISTALANDIA DO PIAUI;13;2776;137;34;2960
220310 CRISTINO CASTRO;21;3959;225;28;4233
220320 CURIMATA;14;4165;243;491;4913
220323 CURRAIS;11;1977;88;17;2093
220325 CURRALINHOS;15;1235;13;44;1307
220327 CURRAL NOVO DO PIAUI;6;1603;53;138;1800
220330 DEMERVAL LOBAO;27;4680;217;167;5091
220335 DIRCEU ARCOVERDE;5;2066;68;5;2144
220340 DOM EXPEDITO LOPES;10;1855;95;5;1965
220342 DOMINGOS MOURAO;5;1409;103;43;1560
220345 DOM INOCENCIO;9;2099;99;159;2366
220350 ELESBAO VELOSO;10;4114;286;69;4479
220360 ELISEU MARTINS;5;1318;75;8;1406
220370 ESPERANTINA;95;14602;881;141;15719
220375 FARTURA DO PIAUI;8;1643;55;27;1733
220380 FLORES DO PIAUI;17;1463;82;14;1576
220385 FLORESTA DO PIAUI;2;606;19;11;638
220390 FLORIANO;114;21045;1050;80;22289
220400 FRANCINOPOLIS;8;1469;113;60;1650
220410 FRANCISCO AYRES;6;1344;96;72;1518
220415 FRANCISCO MACEDO;6;798;10;9;823
220420 FRANCISCO SANTOS;16;2361;120;14;2511
220430 FRONTEIRAS;27;3397;196;12;3632
220435 GEMINIANO;9;1824;107;2;1942
220440 GILBUES;16;4082;191;184;4473
220450 GUADALUPE;28;3726;210;54;4018
220455 GUARIBAS;2;1727;104;35;1868
220460 HUGO NAPOLEAO;9;1074;45;32;1160
220465 ILHA GRANDE;18;3477;169;31;3695
220470 INHUMA;20;4564;291;49;4924
220480 IPIRANGA DO PIAUI;21;2880;161;89;3151
220490 ISAIAS COELHO;11;2260;165;599;3035
220500 ITAINOPOLIS;16;2897;183;3;3099
220510 ITAUEIRA;15;3322;211;12;3560
220515 JACOBINA DO PIAUI;5;1621;106;127;1859
220520 JAICOS;24;6738;368;49;7179
220525 JARDIM DO MULATO;7;1059;61;35;1162
220527 JATOBA DO PIAUI;4;1481;60;24;1569
220530 JERUMENHA;7;1472;64;4;1547
220535 JOAO COSTA;4;897;18;14;933
220540 JOAQUIM PIRES;39;5037;252;45;5373
220545 JOCA MARQUES;1;1917;84;19;2021
220550 JOSE DE FREITAS;53;12816;650;242;13761
220551 JUAZEIRO DO PIAUI;4;1606;62;41;1713
220552 JULIO BORGES;4;1617;84;212;1917
220553 JUREMA;5;1762;73;15;1855
220554 LAGOINHA DO PIAUI;7;819;22;29;877
220555 LAGOA ALEGRE;6;2540;100;82;2728
220556 LAGOA DO BARRO DO PIAUI;8;1589;49;20;1666
220557 LAGOA DE SAO FRANCISCO;5;1852;98;23;1978
220558 LAGOA DO PIAUI;7;1131;31;41;1210
220559 LAGOA DO SITIO;6;1434;84;16;1540
220560 LANDRI SALES;11;1762;107;2;1882
220570 LUIS CORREIA;72;10446;587;104;11209
220580 LUZILANDIA;39;9256;514;78;9887
220585 MADEIRO;18;3054;163;16;3251
220590 MANOEL EMIDIO;6;1719;114;18;1857
220595 MARCOLANDIA;19;2943;172;17;3151
220600 MARCOS PARENTE;7;1547;86;8;1648
220605 MASSAPE DO PIAUI;6;1753;63;10;1832
220610 MATIAS OLIMPIO;25;4147;151;31;4354
220620 MIGUEL ALVES;53;11749;708;511;13021
220630 MIGUEL LEAO;1;373;7;14;395
220635 MILTON BRANDAO;5;1805;95;24;1929
220640 MONSENHOR GIL;13;2778;133;118;3042
220650 MONSENHOR HIPOLITO;11;2420;143;18;2592
220660 MONTE ALEGRE DO PIAUI;21;3796;143;58;4018
220665 MORRO CABECA NO TEMPO;6;1355;30;137;1528
220667 MORRO DO CHAPEU DO PIAUI;13;2271;92;34;2410
220669 MURICI DOS PORTELAS;14;2597;132;75;2818
220670 NAZARE DO PIAUI;11;2209;153;32;2405
220672 NAZARIA;12;1958;-;41;2011
220675 NOSSA SENHORA DE NAZARE;1;1283;44;29;1357
220680 NOSSA SENHORA DOS REMEDIOS;8;3543;155;116;3822
220690 NOVO ORIENTE DO PIAUI;5;1684;139;55;1883
220695 NOVO SANTO ANTONIO;6;651;42;43;742
220700 OEIRAS;41;11950;806;176;12973
220710 OLHO D'AGUA DO PIAUI;6;917;30;29;982
220720 PADRE MARCOS;10;2153;107;23;2293
220730 PAES LANDIM;3;1419;54;67;1543
220735 PAJEU DO PIAUI;4;725;51;17;797
220740 PALMEIRA DO PIAUI;13;1786;103;26;1928
220750 PALMEIRAIS;22;4345;192;123;4682
220755 PAQUETA;8;1067;95;5;1175
220760 PARNAGUA;15;4014;161;122;4312
220770 PARNAIBA;263;51828;2958;526;55575
220775 PASSAGEM FRANCA DO PIAUI;3;1344;49;79;1475
220777 PATOS DO PIAUI;11;1608;60;17;1696
220779 PAU D'ARCO DO PIAUI;4;866;-;30;900
220780 PAULISTANA;33;7777;465;363;8638
220785 PAVUSSU;5;1074;53;9;1141
220790 PEDRO II;40;13716;949;105;14810
220793 PEDRO LAURENTINO;-;801;39;17;857
220795 NOVA SANTA RITA;3;1503;52;40;1598
220800 PICOS;134;25233;1399;64;26830
220810 PIMENTEIRAS;12;2709;252;634;3607
220820 PIO IX;41;5868;444;30;6383
220830 PIRACURUCA;28;9487;586;59;10160
220840 PIRIPIRI;80;20554;1360;468;22462
220850 PORTO;15;5312;241;103;5671
220855 PORTO ALEGRE DO PIAUI;9;883;37;6;935
220860 PRATA DO PIAUI;10;891;50;29;980
220865 QUEIMADA NOVA;14;2392;160;108;2674
220870 REDENCAO DO GURGUEIA;22;3615;180;44;3861
220880 REGENERACAO;32;6236;418;136;6822
220885 RIACHO FRIO;9;1752;41;18;1820
220887 RIBEIRA DO PIAUI;3;1254;59;10;1326
220890 RIBEIRO GONCALVES;2;2424;135;103;2664
220900 RIO GRANDE DO PIAUI;4;1964;117;19;2104
220910 SANTA CRUZ DO PIAUI;7;1957;130;8;2102
220915 SANTA CRUZ DOS MILAGRES;5;876;46;11;938
220920 SANTA FILOMENA;8;2198;68;222;2496
220930 SANTA LUZ;6;2039;97;37;2179
220935 SANTANA DO PIAUI;4;1263;69;1;1337
220937 SANTA ROSA DO PIAUI;7;1584;108;18;1717
220940 SANTO ANTONIO DE LISBOA;12;1804;77;6;1899
220945 SANTO ANTONIO DOS MILAGRES;3;670;27;26;726
220950 SANTO INACIO DO PIAUI;1;1043;57;11;1112
220955 SAO BRAZ DO PIAUI;-;1298;70;29;1397
220960 SAO FELIX DO PIAUI;7;569;23;12;611
220965 SAO FRANCISCO DE ASSIS DO PIAUI;8;1660;44;111;1823
220970 SAO FRANCISCO DO PIAUI;9;1841;120;31;2001
220975 SAO GONCALO DO GURGUEIA;1;856;27;18;902
220980 SAO GONCALO DO PIAUI;6;1461;49;60;1576
220985 SAO JOAO DA CANABRAVA;12;1353;85;4;1454
220987 SAO JOAO DA FRONTEIRA;8;1780;84;42;1914
220990 SAO JOAO DA SERRA;13;1698;101;42;1854
220995 SAO JOAO DA VARJOTA;2;1507;63;25;1597
220997 SAO JOAO DO ARRAIAL;26;3096;86;39;3247
221000 SAO JOAO DO PIAUI;16;7715;262;104;8097
221005 SAO JOSE DO DIVINO;5;1673;101;24;1803
221010 SAO JOSE DO PEIXE;5;1211;74;9;1299
221020 SAO JOSE DO PIAUI;6;2211;144;3;2364
221030 SAO JULIAO;9;1808;119;8;1944
221035 SAO LOURENCO DO PIAUI;2;1164;34;30;1230
221037 SAO LUIS DO PIAUI;8;726;29;27;790
221038 SAO MIGUEL DA BAIXA GRANDE;4;492;18;21;535
221039 SAO MIGUEL DO FIDALGO;4;953;56;14;1027
221040 SAO MIGUEL DO TAPUIO;13;5858;352;119;6342
221050 SAO PEDRO DO PIAUI;32;4451;227;150;4860
221060 SAO RAIMUNDO NONATO;33;12716;413;29;13191
221062 SEBASTIAO BARROS;3;1452;56;70;1581
221063 SEBASTIAO LEAL;11;1255;40;20;1326
221065 SIGEFREDO PACHECO;12;2429;107;48;2596
221070 SIMOES;21;5437;231;10;5699
221080 SIMPLICIO MENDES;15;3825;248;307;4395
221090 SOCORRO DO PIAUI;3;1288;62;21;1374
221093 SUSSUAPARA;15;1870;95;10;1990
221095 TAMBORIL DO PIAUI;1;1023;45;7;1076
221097 TANQUE DO PIAUI;-;731;37;12;780
221100 TERESINA;1829;295490;17245;6222;320786
221110 UNIAO;95;15884;888;385;17252
221120 URUCUI;36;9056;322;37;9451
221130 VALENCA DO PIAUI;17;6694;386;86;7183
221135 VARZEA BRANCA;3;1709;35;9;1756
221140 VARZEA GRANDE;5;1308;80;20;1413
221150 VERA MENDES;5;942;54;9;1010
221160 VILA NOVA DO PIAUI;5;777;45;-;827
221170 WALL FERRAZ;3;1230;73;11;1317
 MUNICIPIO IGNORADO - CE;-;23;9;5;37
230010 ABAIARA;18;3051;85;35;3189
230015 ACARAPE;41;4595;229;102;4967
230020 ACARAU;78;21865;1114;88;23145
230030 ACOPIARA;78;15086;914;82;16160
230040 AIUABA;23;4389;318;163;4893
230050 ALCANTARAS;16;3186;185;10;3397
230060 ALTANEIRA;13;2290;114;11;2428
230070 ALTO SANTO;40;4341;223;115;4719
230075 AMONTADA;64;12537;681;3261;16543
230080 ANTONINA DO NORTE;25;2323;152;30;2530
230090 APUIARES;33;3290;187;236;3746
230100 AQUIRAZ;156;20731;1012;1783;23682
230110 ARACATI;276;21871;1189;207;23543
230120 ARACOIABA;39;7267;456;1041;8803
230125 ARARENDA;17;3175;175;29;3396
230130 ARARIPE;89;8889;528;20;9526
230140 ARATUBA;26;3800;217;285;4328
230150 ARNEIROZ;10;2056;122;196;2384
230160 ASSARE;49;6880;471;29;7429
230170 AURORA;23;7705;237;95;8060
230180 BAIXIO;9;1617;95;38;1759
230185 BANABUIU;60;6110;304;133;6607
230190 BARBALHA;302;23779;1212;74;25367
230195 BARREIRA;55;6650;288;182;7175
230200 BARRO;34;5908;313;145;6400
230205 BARROQUINHA;17;4986;343;74;5420
230210 BATURITE;65;11266;674;591;12596
230220 BEBERIBE;166;13544;642;593;14945
230230 BELA CRUZ;68;9373;467;82;9990
230240 BOA VIAGEM;109;16448;947;124;17628
230250 BREJO SANTO;92;15579;751;283;16705
230260 CAMOCIM;104;22968;1296;59;24427
230270 CAMPOS SALES;67;9432;674;23;10196
230280 CANINDE;130;24736;1634;922;27422
230290 CAPISTRANO;40;5285;282;355;5962
230300 CARIDADE;33;5486;305;212;6036
230310 CARIRE;23;5145;339;40;5547
230320 CARIRIACU;67;8674;429;188;9358
230330 CARIUS;35;4920;364;28;5347
230340 CARNAUBAL;60;5674;343;52;6129
230350 CASCAVEL;138;21169;985;393;22685
230360 CATARINA;13;3275;185;32;3505
230365 CATUNDA;18;2775;197;20;3010
230370 CAUCAIA;966;100036;3646;8663;113311
230380 CEDRO;45;7441;496;74;8056
230390 CHAVAL;11;3969;327;617;4924
230393 CHORO;29;4529;157;46;4761
230395 CHOROZINHO;65;5635;302;436;6438
230400 COREAU;26;7158;487;19;7690
230410 CRATEUS;107;24210;1459;144;25920
230420 CRATO;492;47199;2555;175;50421
230423 CROATA;46;5609;409;133;6197
230425 CRUZ;63;8915;446;53;9477
230426 DEPUTADO IRAPUAN PINHEIRO;15;2321;152;7;2495
230427 ERERE;8;951;118;224;1301
230428 EUSEBIO;118;19827;803;1154;21902
230430 FARIAS BRITO;63;6274;436;63;6836
230435 FORQUILHA;42;7119;430;44;7635
230440 FORTALEZA;7252;691911;39029;122888;861080
230445 FORTIM;47;4301;138;55;4541
230450 FRECHEIRINHA;24;5087;311;35;5457
230460 GENERAL SAMPAIO;13;2182;65;134;2394
230465 GRACA;22;4417;343;24;4806
230470 GRANJA;111;18284;857;102;19354
230480 GRANJEIRO;9;1426;37;20;1492
230490 GROAIRAS;18;2981;187;17;3203
230495 GUAIUBA;43;7273;327;282;7925
230500 GUARACIABA DO NORTE;75;14755;959;110;15899
230510 GUARAMIRANGA;13;1844;87;97;2041
230520 HIDROLANDIA;32;5604;368;65;6069
230523 HORIZONTE;203;20969;699;875;22746
230526 IBARETAMA;40;4571;220;98;4929
230530 IBIAPINA;54;8390;518;61;9023
230533 IBICUITINGA;18;3432;178;45;3673
230535 ICAPUI;62;5498;195;68;5823
230540 ICO;128;20928;1302;146;22504
230550 IGUATU;213;29812;1570;624;32219
230560 INDEPENDENCIA;31;7400;402;43;7876
230565 IPAPORANGA;25;3560;214;43;3842
230570 IPAUMIRIM;21;3407;217;108;3753
230580 IPU;73;13645;815;278;14811
230590 IPUEIRAS;76;12258;888;165;13387
230600 IRACEMA;17;3989;226;67;4299
230610 IRAUCUBA;37;7877;430;109;8453
230620 ITAICABA;16;1929;60;15;2020
230625 ITAITINGA;97;10364;491;1019;11971
230630 ITAPAGE;122;16987;1092;258;18459
230640 ITAPIPOCA;160;36125;2016;10834;49135
230650 ITAPIUNA;38;5460;321;238;6057
230655 ITAREMA;86;15537;805;101;16529
230660 ITATIRA;36;7128;358;160;7682
230670 JAGUARETAMA;29;5078;381;61;5549
230680 JAGUARIBARA;15;3224;127;47;3413
230690 JAGUARIBE;35;10740;707;161;11643
230700 JAGUARUANA;36;8922;514;101;9573
230710 JARDIM;92;9825;694;161;10772
230720 JATI;14;2579;147;55;2795
230725 JIJOCA DE JERICOACOARA;52;6630;169;61;6912
230730 JUAZEIRO DO NORTE;703;84291;3159;2883;91036
230740 JUCAS;47;7754;458;75;8334
230750 LAVRAS DA MANGABEIRA;80;5440;599;3153;9272
230760 LIMOEIRO DO NORTE;171;16978;982;210;18341
230763 MADALENA;31;4916;183;100;5230
230765 MARACANAU;602;86264;3486;3890;94242
230770 MARANGUAPE;233;28803;1626;1525;32187
230780 MARCO;49;11518;529;45;12141
230790 MARTINOPOLE;24;3240;270;648;4182
230800 MASSAPE;82;12456;724;63;13325
230810 MAURITI;127;15540;613;126;16406
230820 MERUOCA;31;4596;278;27;4932
230830 MILAGRES;49;8981;233;136;9399
230835 MILHA;40;3599;197;29;3865
230837 MIRAIMA;13;3812;208;917;4950
230840 MISSAO VELHA;123;12414;505;267;13309
230850 MOMBACA;51;12984;923;79;14037
230860 MONSENHOR TABOSA;51;5394;362;57;5864
230870 MORADA NOVA;102;17700;1253;293;19348
230880 MORAUJO;13;2701;139;8;2861
230890 MORRINHOS;40;7107;319;89;7555
230900 MUCAMBO;19;4232;240;31;4522
230910 MULUNGU;19;3050;172;181;3422
230920 NOVA OLINDA;49;5360;286;29;5724
230930 NOVA RUSSAS;31;9634;629;42;10336
230940 NOVO ORIENTE;39;8663;632;31;9365
230945 OCARA;53;6391;371;478;7293
230950 OROS;28;6498;364;37;6927
230960 PACAJUS;176;18512;875;1776;21339
230970 PACATUBA;143;18050;435;686;19314
230980 PACOTI;36;3542;202;198;3978
230990 PACUJA;12;1847;96;5;1960
231000 PALHANO;9;2537;133;39;2718
231010 PALMACIA;22;2560;189;137;2908
231020 PARACURU;130;11460;449;611;12650
231025 PARAIPABA;64;9423;521;339;10347
231030 PARAMBU;30;10728;718;192;11668
231040 PARAMOTI;19;3318;257;111;3705
231050 PEDRA BRANCA;83;12656;835;456;14030
231060 PENAFORTE;24;3544;57;80;3705
231070 PENTECOSTE;76;10750;617;1161;12604
231080 PEREIRO;30;4971;276;68;5345
231085 PINDORETAMA;57;5800;274;461;6592
231090 PIQUET CARNEIRO;20;3818;212;15;4065
231095 PIRES FERREIRA;22;2633;214;29;2898
231100 PORANGA;22;4051;276;33;4382
231110 PORTEIRAS;38;5521;260;121;5940
231120 POTENGI;28;3283;169;74;3554
231123 POTIRETAMA;12;1700;86;113;1911
231126 QUITERIANOPOLIS;44;6021;305;83;6453
231130 QUIXADA;312;28450;1388;467;30617
231135 QUIXELO;27;4607;279;209;5122
231140 QUIXERAMOBIM;193;25332;1197;134;26856
231150 QUIXERE;57;6104;258;66;6485
231160 REDENCAO;67;9167;459;190;9883
231170 RERIUTABA;32;5629;317;98;6076
231180 RUSSAS;95;20994;1178;417;22684
231190 SABOEIRO;21;5049;365;37;5472
231195 SALITRE;49;6501;308;21;6879
231200 SANTANA DO ACARAU;49;10692;666;37;11444
231210 SANTANA DO CARIRI;75;6145;473;45;6738
231220 SANTA QUITERIA;40;12962;763;83;13848
231230 SAO BENEDITO;104;17761;1071;225;19161
231240 SAO GONCALO DO AMARANTE;132;15583;585;696;16996
231250 SAO JOAO DO JAGUARIBE;13;1717;128;54;1912
231260 SAO LUIS DO CURU;27;3609;253;201;4090
231270 SENADOR POMPEU;55;7653;559;77;8344
231280 SENADOR SA;8;2386;114;20;2528
231290 SOBRAL;328;70875;3867;293;75363
231300 SOLONOPOLE;40;4587;77;53;4757
231310 TABULEIRO DO NORTE;64;8321;537;109;9031
231320 TAMBORIL;36;8193;583;53;8865
231325 TARRAFAS;13;2159;132;82;2386
