 Nascidos vivos - Brasil;;;;;;;
Nascim p/resid.mãe por Município e Consult pré-natal;;;;;;;
Período:2000-2022;;;;;;;
Município;Nenhuma;De 1 a 3 consultas;De 4 a 6 consultas;De 1 a 6 consultas, não especificado;7 ou mais consultas;Ignorado;Total
411420 MANDAGUARI;58;204;1188;-;8758;3;10211
411430 MANDIRITUBA;95;231;1037;-;7010;57;8430
411435 MANFRINOPOLIS;7;35;231;-;586;6;865
411440 MANGUEIRINHA;102;339;734;-;5730;8;6913
411450 MANOEL RIBAS;64;348;1586;-;2828;95;4921
411460 MARECHAL CANDIDO RONDON;97;463;2425;-;11952;34;14971
411470 MARIA HELENA;5;46;236;-;1297;2;1586
411480 MARIALVA;45;184;1464;-;8672;5;10370
411490 MARILANDIA DO SUL;12;51;237;-;2605;-;2905
411500 MARILENA;29;124;552;-;1512;12;2229
411510 MARILUZ;15;218;840;-;2528;1;3602
411520 MARINGA;536;2696;15270;1;87067;98;105668
411530 MARIOPOLIS;14;33;180;-;1729;5;1961
411535 MARIPA;10;21;186;-;1350;4;1571
411540 MARMELEIRO;36;102;587;-;3590;9;4324
411545 MARQUINHO;5;98;596;-;1217;-;1916
411550 MARUMBI;4;20;88;-;1183;-;1295
411560 MATELANDIA;28;113;690;-;4928;5;5764
411570 MATINHOS;247;1036;2987;-;6547;66;10883
411573 MATO RICO;19;90;285;-;783;3;1180
411575 MAUA DA SERRA;19;75;402;-;2988;3;3487
411580 MEDIANEIRA;57;353;2004;-;12576;33;15023
411585 MERCEDES;5;27;209;-;1196;2;1439
411590 MIRADOR;8;9;109;-;506;1;633
411600 MIRASELVA;2;6;59;-;429;3;499
411605 MISSAL;11;105;602;-;2372;11;3101
411610 MOREIRA SALES;28;92;622;-;2977;5;3724
411620 MORRETES;98;366;1496;-;3735;30;5725
411630 MUNHOZ DE MELO;6;22;171;-;829;6;1034
411640 NOSSA SENHORA DAS GRACAS;6;26;132;-;967;6;1137
411650 NOVA ALIANCA DO IVAI;3;8;101;-;328;-;440
411660 NOVA AMERICA DA COLINA;7;58;180;-;816;-;1061
411670 NOVA AURORA;15;58;369;1;3078;21;3542
411680 NOVA CANTU;22;137;461;-;1770;8;2398
411690 NOVA ESPERANCA;52;120;637;-;7226;3;8038
411695 NOVA ESPERANCA DO SUDOESTE;20;47;266;-;1385;-;1718
411700 NOVA FATIMA;21;66;407;-;1786;1;2281
411705 NOVA LARANJEIRAS;76;772;1798;-;2021;4;4671
411710 NOVA LONDRINA;36;100;575;-;3176;29;3916
411720 NOVA OLIMPIA;4;30;201;-;1373;2;1610
411721 NOVA SANTA BARBARA;6;51;301;-;934;2;1294
411722 NOVA SANTA ROSA;5;37;286;-;2000;11;2339
411725 NOVA PRATA DO IGUACU;22;64;396;-;2549;7;3038
411727 NOVA TEBAS;53;57;334;-;1954;12;2410
411729 NOVO ITACOLOMI;5;5;49;-;698;-;757
411730 ORTIGUEIRA;116;683;2079;-;5166;37;8081
411740 OURIZONA;5;12;103;-;772;3;895
411745 OURO VERDE DO OESTE;3;62;488;-;1248;3;1804
411750 PAICANDU;88;534;3440;-;8220;13;12295
411760 PALMAS;163;881;6154;-;13534;98;20830
411770 PALMEIRA;82;317;2005;-;8827;20;11251
411780 PALMITAL;27;932;1742;-;3342;3;6046
411790 PALOTINA;18;120;774;-;9268;12;10192
411800 PARAISO DO NORTE;76;38;468;-;3303;-;3885
411810 PARANACITY;16;74;405;-;2812;2;3309
411820 PARANAGUA;1344;6000;16262;-;32358;368;56332
411830 PARANAPOEMA;-;23;177;-;676;30;906
411840 PARANAVAI;123;535;6205;-;20476;22;27361
411845 PATO BRAGADO;13;18;184;-;1271;7;1493
411850 PATO BRANCO;433;727;3588;-;22280;37;27065
411860 PAULA FREITAS;10;31;204;-;1390;7;1642
411870 PAULO FRONTIN;5;59;239;-;1624;3;1930
411880 PEABIRU;15;112;666;-;3201;9;4003
411885 PEROBAL;8;41;255;-;1529;2;1835
411890 PEROLA;11;61;438;-;2512;18;3040
411900 PEROLA D'OESTE;7;76;453;-;1258;8;1802
411910 PIEN;34;155;676;-;2844;23;3732
411915 PINHAIS;545;2032;7845;-;33579;362;44363
411920 PINHALAO;16;20;85;-;2045;2;2168
411925 PINHAL DE SAO BENTO;5;22;92;-;733;1;853
411930 PINHAO;107;1078;4118;-;7981;4;13288
411940 PIRAI DO SUL;100;678;2765;-;5286;65;8894
411950 PIRAQUARA;400;2187;7901;-;23925;299;34712
411960 PITANGA;54;535;2636;-;8928;9;12162
411965 PITANGUEIRAS;7;22;114;-;632;-;775
411970 PLANALTINA DO PARANA;7;42;288;-;1147;2;1486
411980 PLANALTO;15;102;1022;-;2266;7;3412
411990 PONTA GROSSA;694;2604;15477;-;100754;452;119981
411995 PONTAL DO PARANA;122;526;1685;-;4433;50;6816
412000 PORECATU;24;103;526;-;3117;17;3787
412010 PORTO AMAZONAS;17;48;224;1;1095;8;1393
412015 PORTO BARREIRO;6;47;281;-;828;-;1162
412020 PORTO RICO;2;17;88;-;664;4;775
412030 PORTO VITORIA;6;37;244;-;1007;-;1294
412033 PRADO FERREIRA;3;18;114;-;984;6;1125
412035 PRANCHITA;5;26;180;-;1623;1;1835
412040 PRESIDENTE CASTELO BRANCO;11;26;205;-;1263;1;1506
412050 PRIMEIRO DE MAIO;23;65;377;-;2171;11;2647
412060 PRUDENTOPOLIS;104;1095;4964;-;10520;9;16692
412065 QUARTO CENTENARIO;8;26;227;-;1137;5;1403
412070 QUATIGUA;22;33;676;-;1435;7;2173
412080 QUATRO BARRAS;54;254;1259;-;5600;27;7194
412085 QUATRO PONTES;4;8;151;-;795;6;964
412090 QUEDAS DO IGUACU;48;408;2285;-;8599;6;11346
412100 QUERENCIA DO NORTE;25;127;825;-;3038;15;4030
412110 QUINTA DO SOL;7;53;253;-;1261;1;1575
412120 QUITANDINHA;49;226;840;-;3775;24;4914
412125 RAMILANDIA;11;72;276;-;993;4;1356
412130 RANCHO ALEGRE;4;28;171;-;808;-;1011
412135 RANCHO ALEGRE D'OESTE;7;15;111;-;667;2;802
412140 REALEZA;63;106;550;-;4440;47;5206
412150 REBOUCAS;20;46;362;-;4450;4;4882
412160 RENASCENCA;7;44;352;-;1725;6;2134
412170 RESERVA;134;875;3163;-;5685;21;9878
412175 RESERVA DO IGUACU;27;234;969;-;1648;1;2879
412180 RIBEIRAO CLARO;34;93;734;-;2361;8;3230
412190 RIBEIRAO DO PINHAL;41;180;1587;-;2566;4;4378
412200 RIO AZUL;34;76;621;-;3982;-;4713
412210 RIO BOM;5;22;57;-;775;1;860
412215 RIO BONITO DO IGUACU;28;340;1631;-;3827;3;5829
412217 RIO BRANCO DO IVAI;10;40;500;-;825;5;1380
412220 RIO BRANCO DO SUL;233;942;3709;-;9018;197;14099
412230 RIO NEGRO;67;740;1094;-;7614;44;9559
412240 ROLANDIA;149;381;2009;-;16859;81;19479
412250 RONCADOR;39;194;900;-;2775;10;3918
412260 RONDON;21;73;394;-;2442;4;2934
412265 ROSARIO DO IVAI;10;36;615;-;1146;6;1813
412270 SABAUDIA;11;40;321;-;1529;3;1904
412280 SALGADO FILHO;12;57;362;-;1024;3;1458
412290 SALTO DO ITARARE;15;36;267;-;1075;4;1397
412300 SALTO DO LONTRA;26;63;538;-;3599;2;4228
412310 SANTA AMELIA;7;41;224;-;1014;1;1287
412320 SANTA CECILIA DO PAVAO;10;21;219;-;857;4;1111
412330 SANTA CRUZ DE MONTE CASTELO;18;59;660;-;1713;13;2463
412340 SANTA FE;13;69;344;-;2418;4;2848
412350 SANTA HELENA;51;201;1578;-;5851;20;7701
412360 SANTA INES;2;18;75;-;409;-;504
412370 SANTA ISABEL DO IVAI;18;26;846;-;1524;14;2428
412380 SANTA IZABEL DO OESTE;24;73;313;-;3227;12;3649
412382 SANTA LUCIA;3;27;196;-;955;4;1185
412385 SANTA MARIA DO OESTE;38;201;1753;-;1835;10;3837
412390 SANTA MARIANA;37;143;691;-;2558;5;3434
412395 SANTA MONICA;7;37;481;-;599;1;1125
412400 SANTANA DO ITARARE;8;23;104;-;1299;4;1438
412402 SANTA TEREZA DO OESTE;22;230;881;-;2611;2;3746
412405 SANTA TEREZINHA DE ITAIPU;49;256;1755;-;4982;30;7072
412410 SANTO ANTONIO DA PLATINA;187;1005;4705;-;8584;141;14622
412420 SANTO ANTONIO DO CAIUA;5;15;119;-;589;1;729
412430 SANTO ANTONIO DO PARAISO;3;16;99;-;535;1;654
412440 SANTO ANTONIO DO SUDOESTE;86;370;1933;-;4178;38;6605
412450 SANTO INACIO;7;74;289;-;1389;4;1763
412460 SAO CARLOS DO IVAI;13;33;428;-;1454;2;1930
412470 SAO JERONIMO DA SERRA;59;272;998;-;2498;10;3837
412480 SAO JOAO;13;60;440;-;2552;15;3080
412490 SAO JOAO DO CAIUA;41;50;486;-;1342;2;1921
412500 SAO JOAO DO IVAI;14;30;289;-;3008;6;3347
412510 SAO JOAO DO TRIUNFO;45;136;1397;-;2780;18;4376
412520 SAO JORGE D'OESTE;12;66;522;-;2060;5;2665
412530 SAO JORGE DO IVAI;2;19;141;-;1148;-;1310
412535 SAO JORGE DO PATROCINIO;4;14;404;-;1401;2;1825
412540 SAO JOSE DA BOA VISTA;13;85;558;-;988;3;1647
412545 SAO JOSE DAS PALMEIRAS;5;55;270;-;864;5;1199
412550 SAO JOSE DOS PINHAIS;869;3694;20859;-;76025;1433;102880
412555 SAO MANOEL DO PARANA;2;10;67;-;470;1;550
412560 SAO MATEUS DO SUL;105;627;3935;-;9690;25;14382
412570 SAO MIGUEL DO IGUACU;85;541;1730;-;7064;28;9448
412575 SAO PEDRO DO IGUACU;10;77;505;-;1294;5;1891
412580 SAO PEDRO DO IVAI;17;60;384;-;2315;4;2780
412590 SAO PEDRO DO PARANA;12;13;136;-;627;2;790
412600 SAO SEBASTIAO DA AMOREIRA;15;87;751;-;1811;16;2680
412610 SAO TOME;5;45;211;-;1333;5;1599
412620 SAPOPEMA;25;153;636;-;1332;2;2148
412625 SARANDI;233;1174;7232;-;22191;30;30860
412627 SAUDADE DO IGUACU;10;44;331;-;1541;-;1926
412630 SENGES;68;385;1843;-;4330;27;6653
412635 SERRANOPOLIS DO IGUACU;4;14;105;-;1074;3;1200
412640 SERTANEJA;13;30;223;-;1275;1;1542
412650 SERTANOPOLIS;33;109;614;-;3700;5;4461
412660 SIQUEIRA CAMPOS;69;91;775;-;5047;11;5993
412665 SULINA;4;16;152;-;801;6;979
412667 TAMARANA;44;201;759;-;3158;49;4211
412670 TAMBOARA;3;15;190;-;1082;3;1293
412680 TAPEJARA;12;126;1351;-;3239;15;4743
412690 TAPIRA;13;52;269;-;1298;-;1632
412700 TEIXEIRA SOARES;21;106;642;-;2499;9;3277
412710 TELEMACO BORBA;176;1207;6145;-;19004;72;26604
412720 TERRA BOA;20;108;521;-;4260;4;4913
412730 TERRA RICA;15;93;571;-;4342;2;5023
412740 TERRA ROXA;49;139;608;-;4374;14;5184
412750 TIBAGI;105;539;1904;-;4685;40;7273
412760 TIJUCAS DO SUL;53;171;961;-;3818;61;5064
412770 TOLEDO;138;891;7129;-;32773;27;40958
412780 TOMAZINA;14;43;212;-;1888;5;2162
412785 TRES BARRAS DO PARANA;40;126;1069;-;2885;4;4124
412788 TUNAS DO PARANA;46;203;713;-;1994;28;2984
412790 TUNEIRAS DO OESTE;5;53;383;-;2150;8;2599
412795 TUPASSI;18;33;359;-;1737;4;2151
412796 TURVO;62;353;1254;-;3879;5;5553
412800 UBIRATA;37;148;725;-;5925;8;6843
412810 UMUARAMA;115;1071;5588;-;25845;26;32645
412820 UNIAO DA VITORIA;117;658;3279;-;15670;8;19732
412830 UNIFLOR;5;9;82;-;502;1;599
412840 URAI;41;94;457;-;2454;7;3053
412850 WENCESLAU BRAZ;59;290;1964;-;4125;29;6467
412853 VENTANIA;28;190;809;-;2430;5;3462
412855 VERA CRUZ DO OESTE;9;81;384;-;1995;15;2484
412860 VERE;10;45;349;-;1806;2;2212
412862 ALTO PARAISO;10;54;315;-;706;1;1086
412863 DOUTOR ULYSSES;23;118;609;-;1027;23;1800
412865 VIRMOND;5;30;185;-;1151;-;1371
412870 VITORINO;10;28;227;-;1901;2;2168
412880 XAMBRE;11;96;400;-;1183;3;1693
 MUNICIPIO IGNORADO - SC;5;-;7;-;11;1;24
420005 ABDON BATISTA;11;45;322;-;392;7;777
420010 ABELARDO LUZ;51;426;2009;-;4158;98;6742
420020 AGROLANDIA;9;217;914;-;1843;6;2989
420030 AGRONOMICA;4;60;329;-;955;7;1355
420040 AGUA DOCE;28;143;707;-;1378;18;2274
420050 AGUAS DE CHAPECO;9;58;312;-;1360;4;1743
420055 AGUAS FRIAS;2;8;151;-;555;5;721
420060 AGUAS MORNAS;14;61;406;-;1031;17;1529
420070 ALFREDO WAGNER;21;247;964;-;1619;30;2881
420075 ALTO BELA VISTA;4;5;63;-;315;-;387
420080 ANCHIETA;7;97;557;-;1286;5;1952
420090 ANGELINA;11;77;431;-;841;49;1409
420100 ANITA GARIBALDI;51;103;995;-;1516;2;2667
420110 ANITAPOLIS;4;8;254;-;569;6;841
420120 ANTONIO CARLOS;17;52;429;-;1938;43;2479
420125 APIUNA;26;148;751;-;1906;4;2835
420127 ARABUTA;6;13;152;-;730;2;903
420130 ARAQUARI;166;757;2970;-;6695;27;10615
420140 ARARANGUA;132;1257;7857;-;11518;89;20853
420150 ARMAZEM;20;51;554;-;1771;7;2403
420160 ARROIO TRINTA;4;14;71;-;677;7;773
420165 ARVOREDO;4;20;176;-;400;5;605
420170 ASCURRA;7;83;525;-;1479;10;2104
420180 ATALANTA;3;67;288;-;560;7;925
420190 AURORA;8;50;242;-;1406;4;1710
420195 BALNEARIO ARROIO DO SILVA;30;287;1185;-;1585;16;3103
420200 BALNEARIO CAMBORIU;252;1083;6418;-;25214;83;33050
420205 BALNEARIO BARRA DO SUL;48;199;803;-;1542;19;2611
420207 BALNEARIO GAIVOTA;21;183;978;-;1540;17;2739
420208 BANDEIRANTE;5;35;142;-;645;5;832
420209 BARRA BONITA;3;19;158;-;335;6;521
420210 BARRA VELHA;94;536;2296;-;5940;26;8892
420213 BELA VISTA DO TOLDO;18;76;600;-;1011;15;1720
420215 BELMONTE;3;16;90;-;667;7;783
420220 BENEDITO NOVO;11;101;472;-;2008;13;2605
420230 BIGUACU;334;1338;5454;9;12251;368;19754
420240 BLUMENAU;403;3162;23715;-;69328;111;96719
420243 BOCAINA DO SUL;16;67;335;-;580;34;1032
420245 BOMBINHAS;37;249;1302;1;3729;18;5336
420250 BOM JARDIM DA SERRA;23;84;379;-;590;8;1084
420253 BOM JESUS;10;93;258;-;466;4;831
420257 BOM JESUS DO OESTE;1;7;142;-;411;1;562
420260 BOM RETIRO;42;195;608;-;2354;24;3223
420270 BOTUVERA;5;22;116;-;973;15;1131
420280 BRACO DO NORTE;88;318;1800;-;8337;27;10570
420285 BRACO DO TROMBUDO;5;33;263;-;746;4;1051
420287 BRUNOPOLIS;4;58;387;-;410;4;863
420290 BRUSQUE;112;828;4856;-;29216;208;35220
420300 CACADOR;269;1943;6654;-;19282;98;28246
420310 CAIBI;17;50;239;-;1312;15;1633
420315 CALMON;19;142;572;-;736;8;1477
420320 CAMBORIU;283;1746;6830;-;17675;87;26621
420325 CAPAO ALTO;13;36;281;-;364;6;700
420330 CAMPO ALEGRE;37;223;848;-;2453;18;3579
420340 CAMPO BELO DO SUL;36;131;768;-;1335;21;2291
420350 CAMPO ERE;41;399;1104;-;2222;12;3778
420360 CAMPOS NOVOS;131;1090;4298;-;6346;144;12009
420370 CANELINHA;70;269;1166;-;1728;37;3270
420380 CANOINHAS;303;712;7374;-;11135;217;19741
420390 CAPINZAL;71;179;2813;-;4506;27;7596
420395 CAPIVARI DE BAIXO;30;319;1983;-;4642;20;6994
420400 CATANDUVAS;29;158;883;-;2434;10;3514
420410 CAXAMBU DO SUL;5;50;347;-;903;3;1308
420415 CELSO RAMOS;8;24;272;-;417;5;726
420417 CERRO NEGRO;21;53;385;-;526;17;1002
420419 CHAPADAO DO LAGEADO;-;25;128;-;755;3;911
420420 CHAPECO;475;2285;12732;-;54929;61;70482
420425 COCAL DO SUL;27;198;1534;-;2539;17;4315
420430 CONCORDIA;108;526;3503;1;18743;30;22911
420435 CORDILHEIRA ALTA;1;21;244;-;713;2;981
420440 CORONEL FREITAS;25;131;718;-;1760;9;2643
420445 CORONEL MARTINS;4;43;139;-;434;1;621
420450 CORUPA;18;103;922;-;3081;22;4146
420455 CORREIA PINTO;54;417;1737;-;2874;25;5107
420460 CRICIUMA;490;2603;23645;-;35412;260;62410
420470 CUNHA PORA;21;73;400;-;2340;16;2850
420475 CUNHATAI;1;11;55;-;364;-;431
420480 CURITIBANOS;123;1297;6998;1;7121;25;15565
420490 DESCANSO;8;50;233;-;1890;5;2186
420500 DIONISIO CERQUEIRA;78;392;1905;1;3004;38;5418
420510 DONA EMMA;8;67;331;-;771;6;1183
420515 DOUTOR PEDRINHO;3;30;185;-;625;2;845
420517 ENTRE RIOS;11;116;412;-;738;11;1288
420519 ERMO;7;31;309;-;430;2;779
420520 ERVAL VELHO;9;63;339;-;767;5;1183
420530 FAXINAL DOS GUEDES;47;100;585;-;3000;11;3743
420535 FLOR DO SERTAO;3;8;109;-;314;-;434
420540 FLORIANOPOLIS;1707;6694;29755;467;86389;3312;128324
420543 FORMOSA DO SUL;2;28;161;-;550;1;742
420545 FORQUILHINHA;46;328;3315;-;4367;37;8093
420550 FRAIBURGO;174;757;2741;-;10050;68;13790
420555 FREI ROGERIO;8;59;380;-;340;2;789
420560 GALVAO;5;60;356;-;676;3;1100
420570 GAROPABA;65;313;1447;-;3881;85;5791
420580 GARUVA;57;301;1480;-;4241;12;6091
420590 GASPAR;134;811;5130;-;12141;38;18254
420600 GOVERNADOR CELSO RAMOS;66;275;1139;-;2200;72;3752
420610 GRAO PARA;12;63;391;-;1330;6;1802
420620 GRAVATAL;33;133;831;-;1944;9;2950
420630 GUABIRUBA;39;168;847;-;4332;31;5417
420640 GUARACIABA;20;95;456;-;2035;3;2609
420650 GUARAMIRIM;74;487;2509;-;9388;21;12479
420660 GUARUJA DO SUL;12;48;403;-;824;7;1294
420665 GUATAMBU;15;69;503;-;1267;3;1857
420670 HERVAL D'OESTE;81;373;1657;-;4741;27;6879
420675 IBIAM;3;11;131;-;337;6;488
420680 IBICARE;9;26;212;-;562;6;815
420690 IBIRAMA;31;247;1272;-;4267;20;5837
420700 ICARA;94;705;6441;-;11130;31;18401
420710 ILHOTA;24;175;1077;-;2378;5;3659
420720 IMARUI;35;220;993;-;1313;23;2584
420730 IMBITUBA;130;530;3228;-;8567;74;12529
420740 IMBUIA;6;44;328;-;1535;6;1919
420750 INDAIAL;82;594;4035;-;13727;23;18461
420757 IOMERE;3;10;63;-;545;-;621
420760 IPIRA;7;31;250;-;865;1;1154
420765 IPORA DO OESTE;11;47;530;-;1817;5;2410
420768 IPUACU;102;556;1229;-;1498;44;3429
420770 IPUMIRIM;9;61;485;-;1532;16;2103
420775 IRACEMINHA;6;45;307;-;745;4;1107
420780 IRANI;17;164;787;-;1938;13;2919
420785 IRATI;6;28;167;-;393;1;595
420790 IRINEOPOLIS;50;271;821;-;1877;17;3036
420800 ITA;14;42;305;-;1361;9;1731
420810 ITAIOPOLIS;68;416;1683;-;5008;33;7208
420820 ITAJAI;746;2503;14681;-;51657;78;69665
420830 ITAPEMA;128;780;3474;-;11581;56;16019
420840 ITAPIRANGA;71;75;637;-;4170;16;4969
420845 ITAPOA;42;204;1082;-;3594;20;4942
420850 ITUPORANGA;62;282;1393;-;6737;14;8488
420860 JABORA;9;28;276;-;815;4;1132
420870 JACINTO MACHADO;27;216;1205;-;1582;68;3098
420880 JAGUARUNA;46;357;1842;-;2792;5;5042
420890 JARAGUA DO SUL;254;1250;10284;-;37309;43;49140
420895 JARDINOPOLIS;4;9;139;-;347;1;500
420900 JOACABA;95;340;1886;-;5975;24;8320
420910 JOINVILLE;1282;7631;37960;-;127833;298;175004
420915 JOSE BOITEUX;48;232;813;-;1106;20;2219
420917 JUPIA;6;14;120;-;509;-;649
420920 LACERDOPOLIS;5;4;111;-;413;3;536
420930 LAGES;548;3543;20902;-;30556;227;55776
420940 LAGUNA;160;657;4754;-;6805;60;12436
420945 LAJEADO GRANDE;4;20;123;-;250;-;397
420950 LAURENTINO;5;62;438;-;1384;10;1899
420960 LAURO MULLER;14;147;1318;-;2875;4;4358
420970 LEBON REGIS;80;548;1541;-;2148;24;4341
420980 LEOBERTO LEAL;7;67;294;-;677;14;1059
420985 LINDOIA DO SUL;6;41;175;-;956;6;1184
420990 LONTRAS;22;172;933;-;2256;7;3390
421000 LUIZ ALVES;22;102;889;-;2536;5;3554
421003 LUZERNA;8;34;250;-;1014;4;1310
421005 MACIEIRA;1;15;130;-;323;3;472
421010 MAFRA;108;601;2364;-;15507;41;18621
421020 MAJOR GERCINO;15;37;300;-;397;18;767
421030 MAJOR VIEIRA;19;120;576;-;1587;11;2313
421040 MARACAJA;10;131;940;-;1115;13;2209
421050 MARAVILHA;13;181;1728;-;5472;8;7402
421055 MAREMA;9;36;152;-;288;5;490
421060 MASSARANDUBA;10;119;795;-;3262;7;4193
421070 MATOS COSTA;20;108;318;-;467;8;921
421080 MELEIRO;8;93;920;-;930;5;1956
421085 MIRIM DOCE;7;48;208;-;468;2;733
421090 MODELO;6;38;232;-;829;2;1107
421100 MONDAI;17;95;515;-;1966;21;2614
421105 MONTE CARLO;43;249;1599;-;1923;49;3863
421110 MONTE CASTELO;40;239;972;-;1642;11;2904
421120 MORRO DA FUMACA;29;292;2141;-;2984;21;5467
421125 MORRO GRANDE;5;45;345;-;460;1;856
421130 NAVEGANTES;292;1765;7789;-;15963;63;25872
421140 NOVA ERECHIM;5;19;226;-;1008;1;1259
421145 NOVA ITABERABA;9;27;245;-;840;2;1123
421150 NOVA TRENTO;65;112;805;-;2149;23;3154
421160 NOVA VENEZA;22;126;1689;-;2016;9;3862
421165 NOVO HORIZONTE;11;31;134;-;556;5;737
421170 ORLEANS;23;199;2359;-;4151;21;6753
421175 OTACILIO COSTA;46;384;1799;-;3131;19;5379
421180 OURO;17;55;822;-;997;7;1898
421185 OURO VERDE;3;26;168;-;403;14;614
421187 PAIAL;-;20;126;-;358;3;507
421189 PAINEL;5;47;279;-;328;3;662
421190 PALHOCA;1075;4063;15115;-;30749;780;51782
421200 PALMA SOLA;19;121;779;-;1842;14;2775
421205 PALMEIRA;3;41;209;-;293;-;546
421210 PALMITOS;25;140;793;-;3270;16;4244
421220 PAPANDUVA;64;428;1884;-;3965;19;6360
421223 PARAISO;6;51;293;-;834;28;1212
421225 PASSO DE TORRES;22;86;477;-;1363;7;1955
421227 PASSOS MAIA;15;77;416;-;1045;10;1563
421230 PAULO LOPES;20;125;595;-;1330;39;2109
421240 PEDRAS GRANDES;9;52;363;-;506;1;931
421250 PENHA;94;449;2252;-;5258;17;8070
421260 PERITIBA;5;9;120;-;542;1;677
421265 PESCARIA BRAVA;6;52;245;-;599;-;902
421270 PETROLANDIA;10;35;227;-;1410;6;1688
421280 BALNEARIO PICARRAS;67;265;1393;-;4597;9;6331
421290 PINHALZINHO;16;114;881;-;4772;4;5787
421300 PINHEIRO PRETO;5;22;117;-;751;2;897
421310 PIRATUBA;15;40;333;-;962;2;1352
421315 PLANALTO ALEGRE;1;18;214;-;496;1;730
421320 POMERODE;24;153;1028;-;6773;5;7983
421330 PONTE ALTA;23;176;750;-;820;3;1772
421335 PONTE ALTA DO NORTE;11;80;552;-;668;1;1312
421340 PONTE SERRADA;46;312;1468;-;2253;28;4107
421350 PORTO BELO;55;318;1387;-;3464;26;5250
421360 PORTO UNIAO;120;499;1935;-;8999;25;11578
421370 POUSO REDONDO;42;273;1108;-;3691;15;5129
421380 PRAIA GRANDE;31;141;585;-;1387;10;2154
421390 PRESIDENTE CASTELLO BRANCO;2;7;71;-;290;-;370
421400 PRESIDENTE GETULIO;20;212;1376;-;3257;24;4889
421410 PRESIDENTE NEREU;-;20;136;-;433;4;593
421415 PRINCESA;4;43;180;-;568;2;797
421420 QUILOMBO;21;84;818;-;2331;13;3267
421430 RANCHO QUEIMADO;9;28;226;-;463;20;746
421440 RIO DAS ANTAS;16;101;422;-;1061;5;1605
421450 RIO DO CAMPO;8;194;675;-;1197;13;2087
421460 RIO DO OESTE;7;50;363;-;1476;3;1899
421470 RIO DOS CEDROS;12;94;487;-;1869;14;2476
421480 RIO DO SUL;165;1009;4807;-;13915;74;19970
421490 RIO FORTUNA;2;21;167;-;1173;3;1366
421500 RIO NEGRINHO;150;937;3758;-;10455;15;15315
421505 RIO RUFINO;3;32;135;-;562;7;739
421507 RIQUEZA;9;45;299;-;958;13;1324
421510 RODEIO;9;76;464;-;2088;7;2644
421520 ROMELANDIA;15;67;366;-;880;11;1339
421530 SALETE;20;81;520;-;1611;11;2243
421535 SALTINHO;9;79;396;-;817;1;1302
421540 SALTO VELOSO;11;27;194;-;938;8;1178
421545 SANGAO;22;212;1299;-;2385;8;3926
421550 SANTA CECILIA;61;693;2671;1;3859;41;7326
421555 SANTA HELENA;5;12;100;-;494;4;615
421560 SANTA ROSA DE LIMA;3;5;82;-;411;3;504
421565 SANTA ROSA DO SUL;16;126;801;-;1427;12;2382
421567 SANTA TEREZINHA;17;162;703;-;1504;10;2396
421568 SANTA TEREZINHA DO PROGRESSO;5;70;256;-;533;3;867
421569 SANTIAGO DO SUL;2;7;121;-;297;-;427
421570 SANTO AMARO DA IMPERATRIZ;51;308;1710;5;3896;77;6047
421575 SAO BERNARDINO;5;46;287;-;610;2;950
421580 SAO BENTO DO SUL;158;652;4355;-;21796;22;26983
421590 SAO BONIFACIO;8;16;120;-;479;6;629
421600 SAO CARLOS;15;50;432;-;2179;17;2693
421605 SAO CRISTOVAO DO SUL;15;128;725;-;940;3;1811
421610 SAO DOMINGOS;26;200;738;-;1774;36;2774
421620 SAO FRANCISCO DO SUL;331;1393;5159;-;7604;88;14575
421625 SAO JOAO DO OESTE;13;36;207;-;1071;10;1337
421630 SAO JOAO BATISTA;64;406;3279;-;4743;81;8573
421635 SAO JOAO DO ITAPERIU;6;40;173;-;904;-;1123
421640 SAO JOAO DO SUL;18;95;687;-;1221;8;2029
421650 SAO JOAQUIM;126;633;1619;-;6143;40;8561
421660 SAO JOSE;981;3998;16103;2;46612;1112;68808
421670 SAO JOSE DO CEDRO;30;155;889;-;2914;9;3997
421680 SAO JOSE DO CERRITO;30;234;917;-;1036;25;2242
421690 SAO LOURENCO DO OESTE;40;271;1253;-;6184;30;7778
421700 SAO LUDGERO;28;118;802;-;2761;9;3718
421710 SAO MARTINHO;6;19;213;-;613;4;855
421715 SAO MIGUEL DA BOA VISTA;-;11;138;-;336;-;485
421720 SAO MIGUEL DO OESTE;47;454;2045;-;8691;9;11246
421725 SAO PEDRO DE ALCANTARA;7;31;145;-;590;13;786
421730 SAUDADES;6;59;527;-;1922;7;2521
421740 SCHROEDER;17;101;828;-;4216;9;5171
421750 SEARA;28;133;1241;-;3836;14;5252
421755 SERRA ALTA;2;33;158;-;643;-;836
421760 SIDEROPOLIS;21;153;1506;-;1631;12;3323
421770 SOMBRIO;54;434;3447;-;5386;40;9361
421775 SUL BRASIL;10;30;166;-;601;3;810
421780 TAIO;80;273;1624;-;3675;9;5661
421790 TANGARA;14;67;553;-;1566;10;2210
421795 TIGRINHOS;3;12;118;-;446;-;579
421800 TIJUCAS;166;926;3161;1;8173;84;12511
421810 TIMBE DO SUL;10;59;618;-;813;5;1505
421820 TIMBO;32;218;1772;-;8235;29;10286
421825 TIMBO GRANDE;47;389;1194;1;1176;34;2841
421830 TRES BARRAS;93;498;2139;-;4436;50;7216
